species,5_Rillo,5_Buckley,5_ForCenS_neighbour,10_Rillo,10_Buckley,10_ForCenS_neighbour,20_Rillo,20_Buckley,20_ForCenS_neighbour,25_Rillo,25_Buckley,25_ForCenS_neighbour,27_Rillo,27_Buckley,27_ForCenS_neighbour,31_Rillo,31_Buckley,31_ForCenS_neighbour,44_Rillo,44_Buckley,44_ForCenS_neighbour,46_Rillo,46_Buckley,46_ForCenS_neighbour,55_Rillo,55_Buckley,55_ForCenS_neighbour,66_Rillo,66_Buckley,66_ForCenS_neighbour
Globigerina_bulloides,175,0,237,38,0,121,13,0,8,4,0,7,2,0,9,3,0,2,8,3,18,28,0,77,6,0,10,0,0,0
Globigerina_falconensis,0,0,0,4,0,0,11,0,0,17,9,18,2,0,7,6,0,3,0,0,0,12,0,14,0,0,0,0,0,0
Globoturborotalita_rubescens,0,0,0,0,0,0,0,0,0,3,5,10,2,11,6,4,9,19,4,0,0,4,8,41,0,0,0,0,0,0
Globigerinoides_tenellus,0,0,0,0,0,0,0,1,5,20,7,23,9,10,1,19,21,20,0,0,1,6,0,25,0,0,0,0,0,0
Globorotalia_menardii,0,0,3,0,0,3,37,66,0,0,33,4,1,13,3,0,24,4,30,19,3,1,18,14,23,49,3,0,0,4
Globorotalia_tumida,0,0,3,0,0,3,0,0,0,2,8,4,0,9,3,0,12,4,15,11,3,2,9,14,7,0,3,0,0,4
Globoconella_inflata,96,0,80,58,81,88,10,15,6,31,9,10,2,0,3,0,0,0,0,0,0,0,0,0,35,0,71,0,0,0
Globorotalia_crassaformis,0,0,0,0,0,0,2,0,0,2,0,2,1,1,0,0,0,0,0,2,0,0,0,7,5,6,7,0,0,0
Globorotalia_truncatulinoides,14,12,24,10,6,1,6,31,1,12,4,28,3,8,4,0,2,1,1,2,0,0,0,8,10,0,34,0,0,0
Globorotalia_hirsuta,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Globorotalia_scitula,0,0,0,0,0,0,0,18,0,2,0,9,1,0,4,0,0,0,5,4,3,0,0,3,0,0,0,0,0,0
Globorotalia_ungulata,0,0,NA,0,0,NA,3,0,0,2,0,NA,2,0,NA,0,0,0,4,0,NA,0,0,NA,0,0,0,0,0,0
Globorotaloides_hexagonus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,10,12,0,0,2,0,0,0,0,0,0
Neogloboquadrina_dutertrei,0,0,0,0,0,0,34,23,3,1,4,0,11,7,9,4,19,0,21,22,29,9,13,87,7,0,25,0,0,0
Neogloboquadrina_incompta,8,0,12,38,0,3,4,0,0,1,0,0,0,0,3,0,0,0,33,0,1,10,0,4,33,0,21,0,0,2
Neogloboquadrina_pachyderma,19,0,26,17,0,163,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,226,78,530
Globigerinella_siphonifera,0,0,0,0,0,0,5,10,5,4,11,27,29,10,9,10,20,22,16,11,18,14,8,108,2,0,12,0,0,0
Globigerinella_calida,1,0,0,1,0,0,6,18,0,8,6,15,11,7,6,15,0,23,0,3,4,12,0,51,3,0,0,0,0,0
Globigerinoides_ruber,0,0,0,3,0,0,73,23,28,95,97,219,196,14,207,131,30,191,53,11,91,115,11,524,68,0,69,0,0,0
Globigerinoides_conglobatus,0,0,0,0,0,0,1,9,0,3,70,4,12,9,1,8,18,25,6,8,12,2,14,25,2,0,7,0,0,0
Trilobatus_sacculifer,0,0,0,0,0,0,17,34,5,30,19,27,52,9,34,32,31,56,13,21,60,28,23,195,46,0,75,0,0,0
Orbulina_universa,0,0,2,1,0,0,1,0,0,6,5,17,3,0,9,4,0,12,0,2,1,0,0,2,1,0,0,0,0,0
Pulleniatina_obliquiloculata,0,0,0,0,0,0,2,13,1,3,4,0,7,10,0,0,10,0,16,14,12,22,18,224,5,0,3,0,0,0
Globoquadrina_conglomerata,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,13,18,1,3,15,0,0,0,0,0,0
Globigerinita_glutinata,5,0,5,5,0,8,52,27,19,18,15,68,24,16,34,63,35,96,77,18,24,65,22,314,2,0,12,0,0,0
Candeina_nitida,0,0,0,0,0,0,0,0,0,0,8,0,1,3,1,0,5,0,0,1,0,0,0,3,0,0,0,0,0,0
Beella_digitata,0,0,0,0,0,0,0,1,0,0,4,10,2,3,0,1,1,0,0,2,1,0,0,2,0,0,2,0,0,0
Turborotalita_quinqueloba,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1
Turborotalita_humilis,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,1,1,0,0,0,2,0,3,10,0,0,0,0
Sphaeroidinella_dehiscens,0,0,0,0,0,0,0,12,0,0,6,0,1,9,1,0,1,0,1,10,3,0,1,3,2,0,3,0,0,0
Hastigerina_pelagica,0,0,0,0,0,0,0,0,0,0,9,NA,0,5,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0
Berggrenia_pumilio,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globorotalia_theyeri,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unidentified,0,0,2,0,0,0,0,11,0,0,0,5,0,12,1,0,25,0,0,1,4,0,15,13,0,0,0,0,0,0
total_counts,318,12,392,177,87,386,279,313,100,265,346,528,376,171,367,300,263,500,305,194,378,331,165,1834,260,65,442,226,78,534
