"species","sspname","sample","datasetAB","total_ind","area_min","area_log_min","area_sqrt_min","area_25q","area_log_25q","area_sqrt_25q","area_mean","area_log_mean","area_sqrt_mean","area_median","area_log_median","area_sqrt_median","area_75q","area_log_75q","area_sqrt_75q","area_95q","area_log_95q","area_sqrt_95q","area_max","area_log_max","area_sqrt_max"
"dutertrei","N.dutertrei",29,"B",17,82785.6468,11.3240099775208,287.724949908763,126697.9176,11.7495609304993,355.946509464554,189718.755035294,12.0881269017078,428.755431256724,184721.7564,12.1266059524284,429.79269002625,228281.238,12.3383336478005,477.787858782535,296378.87256,12.5993064167089,544.394955705968,304270.7004,12.6256730460045,551.607378848398
"glutinata","G.glutinata",29,"A",62,20266.76382,9.91673757302466,142.361384581634,27608.87947,10.2258924598555,166.1591883702,33724.9293664516,10.3918389769893,182.029618801554,30994.70668,10.3415348966378,176.051515409791,38543.171155,10.5594976226014,196.322354881222,47115.3117375,10.7603137660187,217.05848463867,81106.50982,11.3035185059327,284.792046623497
"glutinata","G.glutinata",29,"B",34,24448.9572,10.1043428436867,156.361623168858,34288.7805,10.4424033241822,185.164395046494,41261.4573882353,10.6002032959512,201.701750683481,39775.3182,10.5909975647327,199.437290678363,43695.9378,10.6849756575004,209.033919587523,60579.23076,11.0099811788536,246.021684710694,78379.11,11.2693127167517,279.962693943318
"ruber","G.ruber",29,"A",123,17063.12208,9.7446748101638,130.625885949149,31964.51224,10.372378555271,178.78608445753,50906.0268003252,10.7212056460925,218.851036837149,41466.70531,10.6326461025319,203.633752875107,61534.68492,11.0271919304286,248.051665627123,108703.88362,11.5963827838946,329.702718711733,160093.6833,11.9835144434906,400.117086988296
"ruber","G.ruber",29,"B",23,70025.328,11.1566122841588,264.622992198335,80229.5892,11.2919869524523,283.201506823827,102267.771965217,11.4949772451004,316.470088741125,88490.1816,11.3906468824686,297.472993059874,114926.0742,11.6518847093485,338.993953463098,167871.0798,12.029381960149,409.564129621689,193448.2968,12.1727655557477,439.827576215953
"rubescens","G.rubescens",29,"A",4,24882.88961,10.1219356819902,157.743112718115,27183.99044,10.2091407579119,164.824976391037,28102.1649475,10.2407772506577,167.519554531658,28470.87664,10.2564702463439,168.72611959043,29389.0511475,10.2881067390897,171.420697731051,30345.0237495,10.32020761018,174.190432528334,30584.0169,10.3282328279526,174.882866227655
"rubescens","G.rubescens",29,"B",7,23598.6021,10.0689427562085,153.618365113029,25244.397,10.1359348623539,158.867989735171,26703.0995142857,10.1897814097991,163.298907510259,27046.6173,10.2053172228503,164.458558001704,28296.3564,10.250294218991,168.207046234008,29092.62825,10.278225613379,170.564995655869,29194.9704,10.2817517268449,170.86535751872
"sacculifer","G.sacculifer",29,"A",32,41897.14417,10.6429729453535,204.687918964457,71794.572985,11.1815640884417,267.94508796531,108751.322294375,11.4981306438525,321.752399235245,96720.597275,11.4795566945141,310.997411442896,130771.2682,11.7811635591799,361.619346545964,193925.848975,12.1745052881087,440.290135881079,257234.862,12.4577448064838,507.183262736459
"sacculifer","G.sacculifer",29,"B",31,80156.3688,11.2917346158914,283.119001128501,150614.3628,11.9196775679002,387.81924675244,212904.309832258,12.1824156383516,451.874937703923,192077.0784,12.1656520204504,438.265990466977,270512.7678,12.5079035731868,520.086185583123,352895.7024,12.7724767425537,593.834864696761,404702.4636,12.9109074183176,636.162293444055
"siphonifera","G.siphonifera",29,"A",10,74893.07561,11.2238167167671,273.665992790482,116465.747725,11.6621413120611,340.992967576298,153020.028501,11.8891398451626,386.585280225413,161297.92635,11.9906920985928,401.587375728504,181733.093275,12.1099876525548,426.269117541788,215343.468025,12.2782535777001,463.850281247768,226765.7053,12.3316726282029,476.199228579804
"siphonifera","G.siphonifera",29,"B",11,77061.1428,11.2523544480728,277.598888326304,133137.9846,11.7977838068909,364.757009249179,198219.120218182,12.073297305641,431.091819325853,179356.698,12.0971318282346,423.505251443238,206887.5684,12.2393255833962,454.780148904272,393952.3776,12.8343092318182,620.005191965613,515105.514,13.1521270402139,717.708516042551
