"Lat.decimal","Long.decimal","IRN","ZF_PF_no.","Former_Museum_no.","IRN_Residue_OBD","Sea_Depth_meters_NOAA","Ocean_Sea","Sample_depth_min_cm","Sample_depth_max_cm","Vessel","Collection_date","slide_no_check","species","total_ind","ind_diam","pop_max_diam","pop_min_diam","ind_asp_ratio","ind_area","ind_area_mm","ind_area_sqrt","ind_area_log","pop_mean","pop_mean_log","pop_mean_sqrt","pop_median","pop_median_log","pop_median_sqrt","pop_95q","pop_95q_log","pop_95q_sqrt","pop_max","pop_max_log","pop_max_sqrt","pop_min","pop_min_log","pop_min_sqrt","pop_sd","pop_sd_log","pop_sd_sqrt","pop_mad","pop_mad_log","pop_mad_sqrt","sample","ocean"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,301.10932,539.54086,207.95824,1.12448,61411.9464,0.06141,247.81434,11.02536,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,306.01019,539.54086,207.95824,1.11343,54136.5012,0.05414,232.67252,10.89926,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,289.71918,539.54086,207.95824,1.0665,60054.0408,0.06005,245.05926,11.003,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,322.91254,539.54086,207.95824,1.23986,65099.592,0.0651,255.14622,11.08367,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,321.10378,539.54086,207.95824,1.05419,73599.8148,0.0736,271.29286,11.2064,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,319.12838,539.54086,207.95824,1.02351,73153.836,0.07315,270.46966,11.20032,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,341.04829,539.54086,207.95824,1.05241,80728.8192,0.08073,284.12817,11.29885,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,362.68964,539.54086,207.95824,1.13842,87578.2548,0.08758,295.93623,11.38029,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,322.37614,539.54086,207.95824,1.03457,76342.2516,0.07634,276.30102,11.24298,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,347.8793,539.54086,207.95824,1.11005,81674.028,0.08167,285.78668,11.31049,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,392.67736,539.54086,207.95824,1.10459,108705.6684,0.10871,329.70543,11.5964,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,434.54431,539.54086,207.95824,1.08404,115375.3812,0.11538,339.66952,11.65595,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,457.76646,539.54086,207.95824,1.20714,117725.0904,0.11773,343.1109,11.67611,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,404.30337,539.54086,207.95824,1.12085,97895.6748,0.0979,312.88285,11.49166,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,425.1054,539.54086,207.95824,1.17392,105916.6368,0.10592,325.44836,11.57041,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,"Antarctic Indian Ocean",NA,NA,"2nd Japanese Antartic Reseach Exp","02/02/1958",6056,"pachyderma",71,451.91998,539.54086,207.95824,1.12325,130738.3524,0.13074,361.57759,11.78095,77629.2806,11.16413,272.25433,70544.5272,11.164,265.6022,126804.42,11.75037,356.09361,133387.5996,11.80101,365.22267,28269.7308,10.24955,168.13605,32604.46514,0.4527,59.64026,40343.56708,0.60002,76.78212,1,"Indian"
