"area","diam.max","species","sample","dataset","datasetAB","area_log"
78676.46182,344.9708816,"dutertrei",27,"resample","A",11.2730993022493
109748.1452,418.5268869,"dutertrei",27,"resample","A",11.6059434305668
104671.4013,396.3908763,"dutertrei",27,"resample","A",11.5585812105495
73135.27124,357.4958156,"dutertrei",27,"resample","A",11.2000660360721
87012.3748,362.5776261,"dutertrei",27,"resample","A",11.3738056266022
99582.59379,396.5861096,"dutertrei",27,"resample","A",11.5087426671556
111809.0016,420.4464758,"dutertrei",27,"resample","A",11.6245473516677
104476.3739,408.2154413,"dutertrei",27,"resample","A",11.5567162377441
61867.91564,319.5935956,"dutertrei",27,"resample","A",11.0327569986089
163471.4783,492.3174859,"dutertrei",31,"resample","A",12.0043938094539
102129.0122,407.6545809,"dutertrei",31,"resample","A",11.5339921185387
154067.5393,497.4564445,"dutertrei",31,"resample","A",11.9451463521365
317499.588,728.5287319,"dutertrei",31,"resample","A",12.6682317996762
160100.2549,507.6689186,"dutertrei",44,"resample","A",11.9835554911135
143175.1361,481.7558403,"dutertrei",44,"resample","A",11.8718238878466
90720.73959,373.573926,"dutertrei",44,"resample","A",11.4155412713754
135072.371,476.2233781,"dutertrei",44,"resample","A",11.8135659952617
207123.2358,559.0568956,"dutertrei",44,"resample","A",12.2410692371307
76634.5458,352.4663679,"dutertrei",44,"resample","A",11.2468032436196
118341.114,419.4846223,"dutertrei",44,"resample","A",11.6813265297405
89619.999,360.4353982,"dutertrei",44,"resample","A",11.4033337771819
53867.28739,295.8884072,"dutertrei",44,"resample","A",10.8942786596638
183757.9631,514.1612069,"dutertrei",44,"resample","A",12.1213747527347
177104.2327,524.643559,"dutertrei",44,"resample","A",12.0844937235418
95462.13862,380.3855575,"dutertrei",44,"resample","A",11.4664849936192
134523.6436,457.4914542,"dutertrei",44,"resample","A",11.8094952514226
58927.40833,303.6001647,"dutertrei",44,"resample","A",10.9840615980765
38742.78307,234.2843763,"dutertrei",44,"resample","A",10.5646997740812
47887.14447,277.007436,"dutertrei",44,"resample","A",10.7766023647057
152845.2243,493.131058,"dutertrei",44,"resample","A",11.9371810824737
164769.3664,493.4907355,"dutertrei",44,"resample","A",12.0123019956839
141088.6576,474.7307061,"dutertrei",44,"resample","A",11.8571437490676
120450.593,437.760218,"dutertrei",44,"resample","A",11.6989949312355
37191.88886,242.553335,"dutertrei",44,"resample","A",10.5238459750889
