Lat.decimal,Long.decimal,IRN,ZF.PF.no.,Museum.no.,Residue.OBD.IRN,Sea.Depth..m....modern.methods,Ocean.Sea,Sample.depth.MIN..cm.,Sample.depth.MAX..cm.,Vessel,Collection.date,species,total_ind,diameter,D_max,D_min,area,area_mm,area_sqrt,area_sqrt_mm,area_log,A_mean,A_mean_log,A_mean_sqrt_mm,A_median,A_median_log,A_median_sqrt_mm,A_max,A_max_log,A_max_sqrt_mm,A_95q,A_95q_log,A_95q_sqrt_mm,A_sd,A_sd_log,A_sd_sqrt_mm,A_mad,A_mad_log,A_mad_sqrt_mm,max_size,max_size_log,max_size_sqrt_mm,min_size,min_size_log,min_size_sqrt_mm,sample,ocean
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,301.10932,539.54086,207.95824,61411.9464,0.06141,247.81434,0.24781,11.02536,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,306.01019,539.54086,207.95824,54136.5012,0.05414,232.67252,0.23267,10.89926,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,289.71918,539.54086,207.95824,60054.0408,0.06005,245.05926,0.24506,11.003,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,322.91254,539.54086,207.95824,65099.592,0.0651,255.14622,0.25515,11.08367,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,321.10378,539.54086,207.95824,73599.8148,0.0736,271.29286,0.27129,11.2064,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,319.12838,539.54086,207.95824,73153.836,0.07315,270.46966,0.27047,11.20032,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,341.04829,539.54086,207.95824,80728.8192,0.08073,284.12817,0.28413,11.29885,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,362.68964,539.54086,207.95824,87578.2548,0.08758,295.93623,0.29594,11.38029,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,322.37614,539.54086,207.95824,76342.2516,0.07634,276.30102,0.2763,11.24298,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
-68.32,31.35333,5271799,6056,"1,962,216",15900,-974,Antarctic Indian Ocean,NA,NA,2nd Japanese Antartic Reseach Exp,02/02/58,pachyderma,71,347.8793,539.54086,207.95824,81674.028,0.08167,285.78668,0.28579,11.31049,77629.2806,11.16413,0.27225,70544.5272,11.164,0.2656,133387.5996,11.80101,0.36522,126804.42,11.75037,0.35609,32604.46514,0.4527,0.05964,40343.56708,0.60002,0.07678,133387.5996,11.80101,0.36522,28269.7308,10.24955,0.16814,1,Indian
