"area","diam.max","area_max","area_sqrt","area_sqrt_max","area_log","area_log_max","total_ind","species","sspname","sample","dataset","datasetAB"
119261.6976,444.9035482,143339.9578,345.342869623799,378.602638395455,11.6890754970215,11.872974415143,8,"calida","G.calida",25,"Re-sampling","A"
100849.2849,411.820253,143339.9578,317.567764264574,378.602638395455,11.5213824526284,11.872974415143,8,"calida","G.calida",25,"Re-sampling","A"
62599.40142,313.7897385,143339.9578,250.198723857657,378.602638395455,11.0445109950616,11.872974415143,8,"calida","G.calida",25,"Re-sampling","A"
39476.27393,260.7297119,143339.9578,198.686370770619,378.602638395455,10.5834551104207,11.872974415143,8,"calida","G.calida",25,"Re-sampling","A"
63382.61029,320.4083178,143339.9578,251.759032191499,378.602638395455,11.0569448171554,11.872974415143,8,"calida","G.calida",25,"Re-sampling","A"
63014.5658,327.2919948,143339.9578,251.027022051412,378.602638395455,11.0511211818249,11.872974415143,8,"calida","G.calida",25,"Re-sampling","A"
143339.9578,532.0822677,143339.9578,378.602638395455,378.602638395455,11.872974415143,11.872974415143,8,"calida","G.calida",25,"Re-sampling","A"
25057.58971,207.2048613,143339.9578,158.295892903133,378.602638395455,10.1289320430582,11.872974415143,8,"calida","G.calida",25,"Re-sampling","A"
47969.31448,290.8727107,121387.1864,219.018982008409,348.40663943157,10.7783168037957,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
38718.53527,256.1593663,121387.1864,196.770260125864,348.40663943157,10.5640737119043,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
40063.36221,258.0589146,121387.1864,200.158342843859,348.40663943157,10.5982175350539,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
35229.11691,238.9008999,121387.1864,187.694211178715,348.40663943157,10.4696282046005,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
49054.3453,296.8038606,121387.1864,221.482155714631,348.40663943157,10.8006840502644,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
60490.46827,334.4034549,121387.1864,245.948100765182,348.40663943157,11.0102410823505,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
53046.80026,303.7172623,121387.1864,230.318909905374,348.40663943157,10.8789298266717,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
32405.74445,247.3061558,121387.1864,180.015956098341,348.40663943157,10.3860909839045,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
121387.1864,463.6497543,121387.1864,348.40663943157,348.40663943157,11.7067406034372,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
93685.78915,416.417719,121387.1864,306.081344008419,348.40663943157,11.4477017934374,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
100602.2239,424.5872173,121387.1864,317.178536316693,348.40663943157,11.5189296427653,11.7067406034372,11,"calida","G.calida",27,"Re-sampling","A"
115697.7123,412.4339225,115697.7123,340.143664206758,340.143664206758,11.6587361402983,11.6587361402983,1,"conglobatus","G.conglobatus",20,"Re-sampling","A"
122559.126,417.7266108,122559.126,350.084455524663,350.084455524663,11.7163488537479,11.7163488537479,3,"conglobatus","G.conglobatus",25,"Re-sampling","A"
62470.01167,316.0593569,122559.126,249.940016143874,350.084455524663,11.0424419072973,11.7163488537479,3,"conglobatus","G.conglobatus",25,"Re-sampling","A"
61099.97486,306.0542161,122559.126,247.184091033383,350.084455524663,11.020266733703,11.7163488537479,3,"conglobatus","G.conglobatus",25,"Re-sampling","A"
100745.6935,387.1707039,405236.8277,317.404621106877,636.582145288414,11.5203547344785,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
291811.2598,661.1297823,405236.8277,540.195575509463,636.582145288414,12.583862501715,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
73562.32952,339.0914828,405236.8277,271.223762823245,636.582145288414,11.2058883465148,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
83876.43316,356.0327445,405236.8277,289.614283418481,636.582145288414,11.3370999609834,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
127265.3273,459.7804392,405236.8277,356.742662573458,636.582145288414,11.7540293774539,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
165525.0988,491.2384307,405236.8277,406.847758750125,636.582145288414,12.0168781166816,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
75057.36525,360.831734,405236.8277,273.965992871378,636.582145288414,11.2260079701545,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
405236.8277,793.3474555,405236.8277,636.582145288414,636.582145288414,12.9122269349364,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
113014.8438,407.7875532,405236.8277,336.176804375317,636.582145288414,11.6352744501293,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
114233.873,404.1331682,405236.8277,337.985018898767,636.582145288414,11.646003143432,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
287007.4307,642.6439907,405236.8277,535.730744590975,636.582145288414,12.5672633853474,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
100584.6896,392.2506014,405236.8277,317.15089405518,636.582145288414,11.5187553342107,12.9122269349364,12,"conglobatus","G.conglobatus",27,"Re-sampling","A"
126148.1577,412.0319686,378533.1895,355.173419191245,615.250509548753,11.7452123499198,12.8440590349374,8,"conglobatus","G.conglobatus",31,"Re-sampling","A"
