sample,lat,long,distance
5,-47.77,123.1,250110
10,-43.63,51.267,373734
20,-26.96666667,111.3333333,15415
25,-24.06666667,-15.11666667,332708
27,-20.58,63.533,161121
31,-15.15,-176.49,281639
44,-6.266666667,63.43333333,261130
46,1.266666667,149.2,328481
55,22.697,-25.33,202350
66,85.39,21.775,1038231
