_id,minimumDepthInMeters,dynamicProperties,verbatimLatitude,month,continent,occurrenceID,latestEpochOrHighestSeries,maximumDepthInMeters,waterBody,kingdom,decimalLatitude,earliestEraOrLowestErathem,infraspecificEpithet,latestEraOrHighestErathem,recordNumber,day,individualCount,lifeStage,scientificName,lowestBiostratigraphicZone,habitat,sex,year,eventTime,latestEonOrHighestEonothem,otherCatalogNumbers,latestPeriodOrHighestSystem,specificEpithet,geodeticDatum,collectionCode,higherGeography,latestAgeOrHighestStage,formation,earliestEpochOrLowestSeries,group,highestBiostratigraphicZone,earliestAgeOrLowestStage,country,decimalLongitude,genus,family,phylum,higherClassification,islandGroup,catalogNumber,verbatimLongitude,preparations,maximumElevationInMeters,earliestEonOrLowestEonothem,modified,bed,island,minimumElevationInMeters,subgenus,institutionCode,identificationQualifier,identifiedBy,earliestPeriodOrLowestSystem,georeferenceProtocol,locality,stateProvince,member,taxonRank,typeStatus,recordedBy,class,basisOfRecord,dateIdentified,scientificNameAuthorship,order
970766,,"{""identificationdescription"": ""Red clay"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",21 55 00 N,2,,000e7b16-c93c-4f1d-9a19-9514d2f383c2,,,Eastern Central Pacific Ocean,,21.9167,,,,,1,,,Red clay,,,,1874,,,NHMUK:ecatalogue:38306,,,,MIN,,,,,,,,,-155.65,,,,,,,155 39 00 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
253995,,"{""identificationdescription"": ""Small gravel,pebbles"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",52 23 18 N,10,,00af038d-2796-4765-923c-7ed21c01accb,,,Northeast Atlantic Ocean,,52.3883,,,,,7,,,"Small gravel,pebbles",,,,1982,,,NHMUK:ecatalogue:25484,,,,MIN,,,,,,,,,1.9467,,,,,,"BM.1982,O655",001 56 48 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
564776,,"{""identificationdescription"": ""Pebbles,small gravel,broken shells,medium sand"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",52 35 36 N,10,,00c050e7-68e7-4e30-b62d-30c0ba5575a1,,,Northeast Atlantic Ocean,,52.5933,,,,,7,,,"Pebbles,small gravel,broken shells,medium sand",,,,1981,,,NHMUK:ecatalogue:25520,,,,MIN,,,,,,,,,1.9033,,,,,,"BM.1982,O688",001 54 12 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
939569,,"{""identificationdescription"": ""Grey mud and sand"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",57 19 47 N,7,,0009d648-b59b-47e0-ae83-1235eac46481,,,Northeast Atlantic Ocean,,57.3297,,,,,5,,,Grey mud and sand,,,,1974,,,NHMUK:ecatalogue:20558,,,,MIN,,,,,,,,,-6.0047,,,,,,"BM.1974,O71",006 00 17 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
479575,,"{""identificationdescription"": ""Washings, and sample"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",34 26  S,,,004844f3-d376-4bda-a7d3-1c203e44b5e6,,,Western Indian Ocean,,-34.43,,,,,,,,"Washings, and sample",,,,,,,NHMUK:ecatalogue:39279,,,,MIN,,,,,,,,,25.7125,,,,,,,025 42 45 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
399175,,"{""identificationdescription"": ""Sandstone ,eocene, glauconitic, calcareous"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",49 24  N,9,,00b1f12e-4a96-431f-a379-58f2f66033de,,,Northeast Atlantic Ocean,,49.4,,,,,12,,,"Sandstone ,eocene, glauconitic, calcareous",,,,1964,,,NHMUK:ecatalogue:29687,,,,MIN,,,,,,,,,-5.08,,,,,,"BM.1988,O906",005 05  W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
659970,,"{""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",26 37  N,1,,00f2da6f-1a90-4a62-afb1-62f02bc8bdb8,,,Western Central Atlantic Ocean,,26.62,,,,,28,,,,,,,1877,,,NHMUK:ecatalogue:33370,,,,MIN,,,,,,,,,-95,,,,,,,095   W,,,,03/09/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
813732,,"{""identificationdescription"": ""Blue mud"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",02 33 00 S,3,,00f6369c-50fc-4cbb-8e2d-8156a9feb8b6,,,Western Central Pacific Ocean,,-2.55,,,,,1,,,Blue mud,,,,1875,,,NHMUK:ecatalogue:33602,,,,MIN,,,,,,,,,144.0667,,,,,,,144 04 00 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
712363,,"{""identificationdescription"": ""Sand, green mud, stones"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",65   S,3,,0001732c-9fd2-47e3-96ad-e5335fc98e54,,,Antarctic Atlantic Ocean,,-65,,,,,25,,,"Sand, green mud, stones",,,,1927,,,NHMUK:ecatalogue:31344,,,,MIN,,,,,,,,,-65,,,,,,,065   W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
1008369,,"{""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",67 25 18 N,6,,00a74e43-aa2b-4e69-9197-18113b93155e,,,Northeast Atlantic Ocean,,67.4217,,,,,16,,,,,,,1930,,,NHMUK:ecatalogue:11950,,,,MIN,,,,,,,,,-14.4467,,,,,,"BM.1937,1611(46)",014 26 48 W,,,,08/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
701959,,"{""identificationdescription"": ""Medium sand (wentworth classification)"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",52 24 30 N,4,,0076183e-10a8-4869-b6df-6c84f6f5beb0,,,Northeast Atlantic Ocean,,52.4083,,,,,6,,,Medium sand (wentworth classification),,,,1963,,,NHMUK:ecatalogue:16881,,,,MIN,,,,,,,,,-4.3889,,,,,,"BM.1964,299",004 23 20 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
1024586,,"{""identificationdescription"": ""Medium sand, broken shells"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",59 14 32 N,5,,00e0d32a-ffee-4a3b-a6dc-e1fe7577acec,,,Northeast Atlantic Ocean,,59.2422,,,,,4,,,"Medium sand, broken shells",,,,1980,,,NHMUK:ecatalogue:24558,,,,MIN,,,,,,,,,-6.4117,,,,,,"BM.1980,O263",006 24 42 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
463148,,"{""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",09 12  S,8,,00e350a6-ff0a-4f34-b58e-da5f2ad22c3a,,,Eastern Central Pacific Ocean,,-9.2,,,,,19,,,,,,,1889,,,NHMUK:ecatalogue:34971,,,,MIN,,,,,,,,,-171,,,,,,,171 00  W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
522172,,"{""identificationdescription"": ""Washings"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",36 08  S,12,,0055ac9c-7a09-4b83-946a-c7f820aa72f5,,,Eastern Indian Ocean,,-36.13,,,,,15,,,Washings,,,,1887,,,NHMUK:ecatalogue:34697,,,,MIN,,,,,,,,,117.18,,,,,,,117 11  E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
619382,,"{""identificationdescription"": ""Globigerina ooze"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",38 52 56 S,12,,0096c0a1-2371-4448-92ab-e69a5a84b23b,,,Southwest Pacific Ocean,,-38.8822,,,,,12,,,Globigerina ooze,,,,1896,,,NHMUK:ecatalogue:36435,,,,MIN,,,,,,,,,165.0083,,,,,,,165 00 30 E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
304554,,"{""identificationdescription"": ""Fine silty sand. brown at top, brown-grey below"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",35 16 12 N,5,,001c34ec-6c85-49b8-bc9a-72b724285682,,,Western Central Atlantic Ocean,,35.27,,,,,12,,,"Fine silty sand. brown at top, brown-grey below",,,,1965,,,NHMUK:ecatalogue:19256,,,,MIN,,,,,,,,,-75.7733,,,,,,"BM.1971,O272",075 46 24 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
773764,,"{""identificationdescription"": ""Grey mud"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",05 50  S,7,,00bfdfa5-c1a9-4fe9-8450-38f013ac43ad,,,Western Central Pacific Ocean,,-5.83,,,,,28,,,Grey mud,,,,1966,,,NHMUK:ecatalogue:18002,,,,MIN,,,,,,,,,115.75,,,,,,"BM.1966,O424",115 45  E,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
409170,,"{""identificationdescription"": ""Fine sand,broken shells,mud"", ""collectionkind"": ""Ocean bottom deposits"", ""centroid"": false, ""recordtype"": ""Specimen"", ""created"": ""2005-09-27""}",58 18 06 N,9,,00082d45-588b-4a1b-b049-0bee987f8174,,,Northeast Atlantic Ocean,,58.3017,,,,,6,,,"Fine sand,broken shells,mud",,,,1983,,,NHMUK:ecatalogue:26236,,,,MIN,,,,,,,,,-5.9067,,,,,,"BM.1984,O164",005 54 24 W,,,,14/05/2008,,,,,NHMUK,,,,,,,,,,,,Specimen,,,
