Core,Coring device,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,%(1) or Raw(2),Sum
E48-027,,-38.54,79.9,3231,Indo-Pacific,0.62,,,2,3,,,Williams (1976),TTB,01/01/03,0,0,,0.3,,0,,,,0,0,26.3,0.6,0,0.3,0,23.8,8.8,20.4,0.3,,0,,6.3,3.4,0,,0.3,0,,0,,0,,8.8,,0,,0,0,,,,
E48-028,,-38.55,79.92,3173,Indo-Pacific,0.73,,,3,3.5,,,Williams (1976),TTB,01/01/03,0.9,0,,0.3,,0,,,,0,0,22.5,1.2,0.3,0.6,0,17.5,10.2,24.5,0.9,,0,,7.6,2.9,0,,0.3,0.3,,0,,0,,9.3,,0,,0,0,,,,
E48-035,,-30.35,86.49,1800,Indo-Pacific,0.355,,,2,1.7,,,De Deckker (unpublished data),TTB,01/01/03,7,7,,58,,0,,0,,7,2,50,7,0,,,0,6,,0,,,0,93,56,0,0,7,5,,0,0,0,0,3,,,,,,,,,
E49-018,,-46.05,90.17,3291,Indo-Pacific,0.5,,,2,2.4,,,Howard and Prell (1992),TTB,01/01/03,0,,,0,,0,,,,0,0,22.5,0.6,0,0,0,1.3,59.4,2.5,0,,,0,12.4,0.3,0,,0,0,,0,,0,,1,,,,,,,,,
E49-021,,-42.18,94.88,3328,Indo-Pacific,0.49,,,2,2.4,,,Howard and Prell (1992),TTB,01/01/03,0.2,,,0,,0,,,,0,0.2,48.8,0.5,0,0,0,9,14.6,5.8,0,,,0,5.8,3.4,0,,0,0,,0,,0,,11.7,,,,,,,,,
E49-023,,-47.12,95.08,3206,Indo-Pacific,0.59,,,2,2.9,,,Howard and Prell (1992),TTB,01/01/03,0,,,0,,0,,,,0,0,9.7,0,0,0,0,0.3,83.7,0.3,0,,,0,4.1,0.8,0.3,,0,0,,0,,0,,0.8,,,,,,,,,
E55-006,,-38.85,141.06,2346,Indo-Pacific,0.4,,,2,1.9,,,Passlow et al. (1997),TTB,01/01/03,0,0,,0,,,,,,0,,71,2,0,18,,62,0,19,0,,,0,35,47,0,,3,0,,,,0,,62,,,,,11,,,,
FR1/94-GC03,,-44.26,150,2667,Indo-Pacific,0.3,,,2,1.5,,,"Hiramatsu et al. (1997), Barrows et al. (2000)",TTB,01/01/03,0,,,0,,0,,,,1,,169,2,0,0,,32,35,81,0,,,,38,14,,,5,0,,,,0,,15,,,,0,,,,,
FR10/95-GC05,,-14.01,121.03,2472,Indo-Pacific,0.67,,,2,3.3,,,Martinez et al. (1999),TTB,01/01/03,0.647,1.6,,26.2,,4.21,,0,0,2.59,0,2.9,1.29,0.3,3.56,0,0,0,3.2,12,0,0,3.56,0,3.24,0.647,0.6,0,0,0,9.38,0.3,9.68,0,19.7,0,0,,,,,,,
FR10/95-GC11,,-17.64,115,2458,Indo-Pacific,0.29,,,2,1.4,,,Martinez et al. (1999),TTB,01/01/03,1,0.66,,28.57,,2.99,,0,0,2.66,0.66,5.32,1.66,0,4.98,0,0,0,3.65,4.32,0.33,0.33,1.66,2.99,1.99,0,0.33,0,0.33,0,8.31,0,8.31,0.33,21.93,0,0,,,,,,,
