Core,Coring device,"Latitude (decimal, from -90 to +90)","Longitude (decimal, from -180 to +180)",Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics,%(1) or Raw(2),Sum
RC12-341,,13.05,89.58,2988,Indo-Pacific,0.6,,,4,2.9,,,Prell (1985),TTB,01/01/03,2,2.2,,17.4,,11.5,,0,,3.3,3.3,3,1.3,0.2,3,,0,0,0,12.6,1.7,3.7,4.1,0,0,0.4,,0,0.2,,,,0,,27.3,,,,,,,,,
RC12-343,,15.17,90.57,2666,Indo-Pacific,0.6,,,4,2.9,,,Prell (1985),TTB,01/01/03,0.6,2.4,,20.9,,7.6,,0,,2.1,1.5,3.3,0.9,0,0.9,,0,0,0,9.7,0.6,0.9,6.7,0,0,0,,0,0,,,,0,,35.2,,,,,,,,,
RC12-344,,12.77,96.07,2140,Indo-Pacific,2.9,,,4,14.1,,,Prell (1985),TTB,01/01/03,0.4,0.7,,44.9,,3.9,,0,,6,3.5,6.3,2.1,0,3.9,,0,0,0.4,8.8,2.1,2.1,6.3,0,0,0,,0,0,,,,0,,4.2,,,,,,,,,
RC13-038,,-14.52,177.1,2867,Indo-Pacific,0.4,,,3,1.9,,,Barrows et al. (2000),TTB,01/01/03,13,12,,200,,14,,0,0,20,19,13,7,3,6,0,3,0,2,11,0,0,3,0,0,2,,0,1,,1,5,6,0,154,,,,0,,,,,
RC14-007,,-35.52,44.75,3288,Indo-Pacific,0.25,,,2,1.2,,,Prell et al. (1980),TTB,01/01/03,1,0,0,0,,0,,0,0,9,0,48,30,0,0,0,2,3,64,39,0,0,0,68,9,1,,4,4,,0,0,0,0,16,,,,,,,,,
RC14-009,,-39.02,47.88,2692,Indo-Pacific,0.7,,,2,3.4,,,Prell et al. (1980),TTB,01/01/03,1,0,0,3,,0,,0,0,1,0,77,2,0,1,0,26,17,122,3,0,0,0,35,5,0,,2,0,,0,0,0,0,6,,,,,,,,,
RC14-029,,-10.92,88.32,2869,Indo-Pacific,0.2,,,2,1,,,Prell et al. (1980),TTB,01/01/03,8,5,0,73,,11,,0,0,4,2,9,0,0,9,0,0,0,7,32,3,2,9,3,0,3,,0,0,,33,3,36,1,47,,,,,,,,,
RC14-035,,-0.83,89.95,3021,Indo-Pacific,0.4,,,2,1.9,,,Prell et al. (1980),TTB,01/01/03,2,2,0,69,,0,,0,0,7,9,21,1,0,6,0,0,0,1,25,14,3,25,0,0,5,,0,0,,45,4,49,0,31,,,,,,,,,
RC14-037,,1.47,90.17,2226,Indo-Pacific,0.4,,,2,1.9,,,Prell et al. (1980),TTB,01/01/03,0,2,0,78,,10,,0,0,11,10,20,2,0,4,1,0,0,1,26,10,5,20,0,0,0,,0,1,,28,1,29,0,52,,,,,,,,,
RC14-039,,-5.86,90.52,2952,Indo-Pacific,0.7,,,4,3.4,,,Prell (1985),TTB,01/01/03,0.5,1.6,,17.5,,0.5,,0,,3.7,1.2,11.2,1.4,0.9,1.6,,0,0,0,22.2,3,2.6,11,0,0,0.5,,0,0.2,,,,0,,13.6,,,,,,,,,
RC17-069,,-31.5,32.6,3380,Indo-Pacific,0.6,,,2,2.9,,,Prell et al. (1980) Be and Duplessy (1976),TTB,01/01/03,3,0,0,45,,3,,0,0,6,12,27,3,6,3,0,0,0,12,18,0,0,0,95,3,0,,6,3,,3,0,3,0,45,,,,,,,,,
RC17-073,,-32.12,36.02,2021,Indo-Pacific,0.3,,,2,1.5,,,Prell et al. (1980),TTB,01/01/03,4,0,0,40,,2,,0,0,9,16,42,3,1,9,0,2,1,12,3,0,0,1,92,3,0,,9,9,,1,0,1,0,33,,,,,,,,,
RC17-098,,-13.22,65.62,3409,Indo-Pacific,0.53,,,2,2.6,,,Prell et al. (1980),TTB,01/01/03,5,7,0,78,,3,,0,0,11,7,10,3,0,7,0,0,0,3,29,1,1,5,0,1,0,,2,4,,12,21,33,0,68,,,,,,,,,
RC17-108,,-10.51,57.72,4051,Indo-Pacific,0.4,,,3,1.9,,,CLIMAP (1981),TTB,01/01/03,1,0,0,67,,15,,0,0,2,6,51,22,0,32,0,0,1,11,15,0,2,6,0,1,1,,0,2,,8,1,9,1,50,,,,,,,,,
RC17-113,,15.03,66.1,3874,Indo-Pacific,0.3,,,4,1.5,,,Prell et al. (1980),TTB,01/01/03,4,1,0,67,,1,,0,0,2,6,14,10,3,2,0,0,0,2,28,0,5,46,0,0,0,,0,1,,35,7,42,0,46,,,,,,,,,
RS067-GC10,,-38.86,140.1,3332,Indo-Pacific,0.505,,,3,2.5,,,"Passlow et al., (1997)",TTB,01/01/03,0,0,,1,,,,,,0,,138,0,0,0,,21,15,51,1,,,0,30,42,0,,0,4,,,,0,,14,,,,,0,,,,
RS096-GC21,,-23.77,108.5,2100,Indo-Pacific,0.29,,,2,1.4,,,Wells and Wells (1994),TTB,01/01/03,0,1,,51,,6,,0,0,11,2,9,12,1,1,0,0,0,2,9,0,0,0,75,6,2,,1,3,,3,0,3,0,40,,,,,7,,,,
RS147-GC07,,-45.15,146.28,3307,Indo-Pacific,0.985,,,2,4.8,,,Samson (1996),TTB,01/01/03,0,0,0,1,,0,,0,0,0,2,207,11,0,0,104,0,122,79,1,0,0,0,42,7,0,0,1,3,0,0,0,0,0,42,0,0,0,0,6,,,,
RS147-GC14,,-46.45,145.24,3360,Indo-Pacific,0.25,,,3,1.2,,,Howard et al. (2002),TTB,01/01/03,0,0,0,,,0,,0,0,0,0,96,5,0,0,0,22,101,41,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,,,,
RS147-GC31,,-44.53,149.05,3402,Indo-Pacific,0.69,,,2,3.3,,,Howard et al. (2002),TTB,01/01/03,0,0,0,,,0,,0,0,0,0,108,0,0,0,0,55,36,56,0,0,0,0,35,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,,,
S794,,-35.31,178,2195,Indo-Pacific,1.39,,,2,6.7,,,"Weaver et al., (1998), Wright et al., (1998)",TTB,01/01/03,1,0,0,0,,1,,0,,2,0,46,15,1,0,,27,14,126,40,,,0,52,24,18,2,0,0,,0,0,0,,30,,,,,0,,,,
SHI9006,,-4.33,117.6,1999,Indo-Pacific,5.99,,,2,29.1,,,Ding et al. (2003),TTB,01/01/03,6,0,,134,,1,,0,,12,6,53,0,0,13,,,8,0,37,0,,14,0,0,0,,0,5,,13,0,13,0,152,,,,,,,,,
SHI9016,,-8.46,128.24,1805,Indo-Pacific,0.52,,,2,2.5,,,Spooner et al. (in press),TTB,01/01/03,4,1,0,126,,6,,0,0,18,6,24,5,,23,0,0,1,13,59,13,,27,,4,7,,,5,,27,1,28,0,85,,0,,,,,,,
SHI9022,,-11.35,122.04,2313,Indo-Pacific,5.79,,,2,28.1,,,Ding et al. (2003),TTB,01/01/03,3,0,,99,,6,,0,,12,1,14,0,0,15,,,0,29,32,0,,14,0,2,5,,0,1,,29,0,29,0,79,,,,,,,,,
SHI9034,,-9.1,111.01,3330,Indo-Pacific,8.3,,,2,40.3,,,Ding et al. (2003),TTB,01/01/03,2,0,,31,,4,,0,,8,2,61,0,0,8,,,2,102,108,0,,16,0,1,4,,0,4,,31,2,33,1,31,,,,,,,,,
SO36-07,,-42.25,144.75,1085,Indo-Pacific,0.73,,,2,3.5,,,"Lynch-Stieglitz et al.,(1994) Wells and Connell, (1997)",TTB,01/01/03,0,0,,3,,0,,0,0,0,0,109,1,0,0,0,19,65,70,0,0,0,0,33,25,0,,0,2,,0,0,0,0,30,,,,,13,,,,
SO36-21,,-43.8,145.5,2829,Indo-Pacific,0.2,,,2,1,,,Wells and Connell (1997),TTB,01/01/03,4,0,,1,,0,,0,0,0,0,140,0,0,0,0,4,24,34,0,0,0,0,50,17,0,,0,0,,0,0,0,0,25,,,,,20,,,,
SO36-39,,-45.87,145.99,2497,Indo-Pacific,0.3,,,2,1.5,,,Wells and Connell (1997),TTB,01/01/03,0,0,,0,,0,,0,0,0,0,116,0,0,0,0,3,68,47,0,0,0,0,28,4,0,,0,0,,0,0,0,0,27,,,,,35,,,,
SO36-47,,-46.87,145.98,2497,Indo-Pacific,0.5,,,2,2.4,,,Wells and Connell (1997),TTB,01/01/03,0,0,,0,,0,,0,0,0,0,121,0,0,0,0,9,72,40,0,0,0,0,40,3,0,,0,0,,0,0,0,0,20,,,,,33,,,,
U938,,-45.08,179.5,2700,Indo-Pacific,1.3,,,2,6.3,,,"Weaver et al., (1998)",TTB,01/01/03,0,0,0,0,,0,,0,,0,0,19,0,0,0,,26,179,2,0,,,0,97,1,0,0,0,0,,0,0,0,,3,,,,,0,,,,
V14-077,,-29.64,32.86,1818,Indo-Pacific,0.29,,,3,1.4,,,Prell et al. (1980),TTB,01/01/03,6,1,0,53,,3,,0,0,11,18,8,1,1,6,0,0,0,15,19,0,0,6,83,1,1,,1,9,,11,0,11,0,34,,,,,,,,,
V14-081,,-28.43,43.78,3634,Indo-Pacific,0.35,,,3,1.7,,,Prell et al. (1980),TTB,01/01/03,4,0,0,62,,10,,0,0,4,13,23,3,1,15,1,4,0,14,5,0,0,0,42,8,0,,2,9,,3,0,3,0,65,,,,,,,,,
V14-101,,8.65,58.57,2849,Indo-Pacific,0.7,,,2,3.4,,,Prell et al. (1980),TTB,01/01/03,1,0,0,47,,4,,0,0,6,0,28,7,0,3,0,0,0,32,19,0,3,14,0,0,8,,0,1,,12,7,19,0,103,,,,,,,,,
V14-102,,10.25,57.18,3915,Indo-Pacific,0.4,,,2,1.9,,,Prell et al. (1980),TTB,01/01/03,1,2,0,22,,2,,0,0,9,0,28,6,2,4,0,0,1,41,62,0,7,27,1,0,5,,0,6,,9,9,18,0,50,,,,,,,,,
V16-089,,-33.02,85.78,3416,Indo-Pacific,0.4,,,2,1.9,,,CLIMAP (1981),TTB,01/01/03,3,0,0,13,,1,,0,0,1,2,88,1,1,0,1,5,0,50,0,0,0,0,84,29,0,,6,6,,0,0,0,0,8,,,,,,,,,
V18-191,,-32.43,46.57,2946,Indo-Pacific,0.3,,,3,1.5,,,CLIMAP (1981),TTB,01/01/03,3,0,0,31,,2,,0,0,3,9,43,3,2,3,1,0,2,42,1,0,0,0,102,17,0,,10,8,,0,0,0,0,16,,,,,,,,,
V18-207,,-25.63,87.12,2434,Indo-Pacific,0.4,,,2,1.9,,,Prell et al. (1980),TTB,01/01/03,5,8,0,116,,13,,1,0,7,14,7,12,0,4,1,1,0,2,2,0,0,1,29,18,1,,1,5,,2,2,4,0,32,,,,,,,,,
V19-178,,8.12,73.25,2188,Indo-Pacific,0.8,,,3,3.9,,,Prell et al. (1980),TTB,01/01/03,3,1,0,59,,11,,1,0,11,5,18,1,2,10,0,1,0,0,29,9,6,16,0,0,0,,0,2,,35,3,38,0,50,,,,,,,,,
V19-185,,6.7,59.33,2867,Indo-Pacific,0.3,,,2,1.5,,,Prell et al. (1980),TTB,01/01/03,1,1,0,62,,2,,0,0,4,3,35,8,0,6,0,1,1,30,11,4,7,6,0,2,2,,1,3,,10,1,11,0,94,,,,,,,,,
V19-188,,6.87,60.67,3356,Indo-Pacific,0.6,,,2,2.9,,,Prell et al. (1980),TTB,01/01/03,1,6,0,58,,1,,0,0,2,4,30,3,1,1,0,0,1,27,32,4,10,16,0,0,7,,2,2,,39,5,44,0,39,,,,,,,,,
V19-201,,-5.33,40.43,1846,Indo-Pacific,0.7,,,3,3.4,,,Prell et al. (1980),TTB,01/01/03,2,2,0,74,,2,,0,0,8,6,16,4,2,15,2,0,0,19,36,0,2,11,1,0,6,,0,2,,28,1,29,1,53,,,,,,,,,
V19-202,,-6.98,41.18,2589,Indo-Pacific,0.4,,,2,1.9,,,Prell et al. (1980),TTB,01/01/03,8,4,0,94,,3,,0,0,5,3,19,5,0,3,0,0,2,13,29,1,3,12,3,1,3,,0,2,,32,3,35,0,45,,,,,,,,,
V19-204,,-10.23,43.82,3524,Indo-Pacific,0.3,,,2,1.5,,,Prell et al. (1980),TTB,01/01/03,3,8,0,90,,2,,0,0,4,5,21,3,0,0,0,0,0,20,32,0,2,14,1,3,3,,0,0,,17,3,20,0,63,,,,,,,,,
V20-170,,-21.8,69.23,2479,Indo-Pacific,0.3,,,2,1.5,,,Prell et al. (1980),TTB,01/01/03,3,8,0,126,,12,,0,0,16,4,5,4,1,10,0,0,0,3,2,0,0,1,4,17,1,,1,2,,7,2,9,2,48,,,,,,,,,
V20-175,,-22.3,68,3526,Indo-Pacific,0.3,,,2,1.5,,,Prell et al. (1980),TTB,01/01/03,4,5,0,121,,12,,1,0,5,16,7,2,5,10,1,1,0,0,5,0,0,1,1,18,1,,2,3,,2,0,2,1,50,,,,,,,,,
V24-157,,-14.95,147.92,1212,Indo-Pacific,0.3,,,2,1.5,,,Anderson et al. (1989),TTB,01/01/03,6,17,0,151,,3,,0,0,31,23,11,2,3,5,0,0,0,0,30,0,0,10,3,3,0,,0,1,0,13,1,14,0,56,,0,0,0,9,,,,
V24-161,,-18.2,151.45,1670,Indo-Pacific,0.5,,,2,2.4,,,Anderson et al. (1989),TTB,01/01/03,2,4,0,115,,4,,0,0,19,13,12,7,3,7,0,0,0,0,18,1,1,7,1,2,1,,0,3,0,7,4,11,0,30,,0,0,0,5,,,,
V24-170,,-13.52,146.88,2243,Indo-Pacific,0.4,,,2,1.9,,,Anderson et al. (1989),TTB,01/01/03,7,3,0,175,,3,,0,0,21,13,11,5,1,3,0,0,0,1,21,0,1,20,1,5,2,,0,2,0,12,5,17,0,42,,0,0,0,5,,,,
V24-184,,-12.87,146.2,2708,Indo-Pacific,0.3,,,2,1.5,,,Anderson et al. (1989),TTB,01/01/03,3,3,0,153,,2,,0,0,10,,3,0,0,1,0,0,0,0,24,0,0,11,0,13,0,,0,0,0,9,1,10,0,57,,0,0,0,3,,,,
V28-238,,1.02,160.48,3120,Indo-Pacific,0.39,,,2,1.9,,,Thompson (1981),TTB,01/01/03,1,26,,238,,6,,0,0,117,65,6,0,0,7,0,0,0,5,161,19,0,97,0,0,9,,0,4,,36,20,56,0,178,,,,0,,,,,
V28-239,,3.25,159.18,3490,Indo-Pacific,0.52,,,2,2.5,,,Thompson (1981),TTB,01/01/03,0,12,,76,,3,,0,0,36,41,1,1,0,0,1,0,0,0,90,10,1,155,0,0,4,,0,8,,38,30,68,0,57,,,,0,,,,,
V28-342 (P),,-14.1,120.5,2730,Indo-Pacific,0.9,,,4,4.4,,,Prell (1985),TTB,01/01/03,0.5,0.2,,27,,2.9,,0,,2.9,4.8,8.4,1.2,0.2,4.8,,0,0,0,16.9,0,0,3.1,0,0.5,0.5,,0,1.7,,,,0,,20.5,,,,,,,,,
V28-342 (W),,-14.1,120.5,2730,Indo-Pacific,0.89,,,3,4.3,,,Wells and Wells (1994),TTB,01/01/03,10,4,,70,,5,,1,0,22,3,0,1,0,2,0,0,0,6,42,0,0,3,0,3,1,,0,1,,25,19,44,0,32,,,,,0,,,,
V28-345,,-17.67,117.95,1904,Indo-Pacific,0.9,,,4,4.4,,,Prell (1985),TTB,01/01/03,0.3,0.3,,26.7,,3.8,,0,,1.9,1.9,9.8,4.4,0,2.9,,0.3,0,0,12.1,0,0,3.2,2.5,2.9,0.6,,0,1.9,,,,0,,21.9,,,,,,,,,
V29-015,,11.95,88.73,3173,Indo-Pacific,0.7,,,4,3.4,,,Prell (1985),TTB,01/01/03,0.8,2,,17.6,,5,,1.1,,2.8,2,7.8,0.8,0.6,0.3,,0,0,0,16.5,7,0.8,3.9,0,0,0,,0,0,,,,0,,23.2,,,,,,,,,
V29-029,,5.12,77.58,2673,Indo-Pacific,0.8,,,2,3.9,,,Prell et al. (1980),TTB,01/01/03,3,1,0,25,,5,,0,0,7,3,47,4,0,4,0,0,0,1,74,1,6,16,0,0,1,,0,2,,29,1,30,0,61,,,,,,,,,
V29-030,,3.08,76.25,3651,Indo-Pacific,0.8,,,4,3.9,,,Prell et al. (1980),TTB,01/01/03,4,0,0,34,,4,,0,1,6,5,18,1,1,1,0,0,0,11,53,3,9,40,0,0,1,,0,1,,61,1,62,0,37,,,,,,,,,
V29-045,,-6,69.82,2860,Indo-Pacific,0.4,,,3,1.9,,,CLIMAP (1981),TTB,01/01/03,6,1,0,70,,4,,0,0,8,2,19,0,3,6,1,0,1,18,27,1,5,18,0,0,3,,0,0,,25,2,27,0,67,,,,,,,,,
V29-048,,-6.27,63.43,3882,Indo-Pacific,0.2,,,2,1,,,Prell et al. (1980),TTB,01/01/03,3,11,0,60,,2,,1,0,15,9,9,0,3,2,0,0,0,12,47,1,6,14,0,0,2,,0,4,,39,4,43,0,26,,,,,,,,,
V29-064,,-27.28,74.87,3404,Indo-Pacific,0.3,,,3,1.5,,,CLIMAP (1981),TTB,01/01/03,8,4,0,111,,2,,0,0,12,12,14,2,7,5,0,0,0,2,0,0,0,0,22,35,2,,3,12,,0,0,0,1,26,,,,,,,,,
V33-065,,-22.73,112.58,1692,Indo-Pacific,0.4,,,3,1.9,,,Wells and Wells (1994),TTB,01/01/03,1,0,,52,,9,,0,0,11,0,6,7,0,1,0,0,2,6,17,0,0,6,104,6,0,,0,1,,4,1,5,1,55,,,,,,,,,
V34-087,,13.27,57.35,2144,Indo-Pacific,1,,,4,4.9,,,Prell (1985),TTB,01/01/03,1.6,0,,19.2,,1,,0,,1.2,3.4,25,12.5,0,2,,0,0,0,10.3,0,0.2,2.2,0,0.6,0.2,,0,0.6,,,,0,,17.7,,,,,,,,,
V34-088,,16.54,59.76,2171,Indo-Pacific,1,,,4,4.9,,,Prell (1985),TTB,01/01/03,2.1,0,,13.1,,2.7,,0,,0.6,4,21,10.6,0,4.3,,2.1,0,0.3,11.2,0,0.3,0.9,0,1.2,0,,0,0.9,,,,0,,19.5,,,,,,,,,
V34-091,,20.94,64.03,3393,Indo-Pacific,0.7,,,4,3.4,,,Prell (1985),TTB,01/01/03,1.6,0.6,,33,,1,,0,,3.5,2.5,16.8,4.4,0.3,0.6,,0,0.3,0,13,0,0.3,4.1,0,1.3,0,,0,0,,,,0,,9.5,,,,,,,,,
V34-092,,21.15,65.12,3166,Indo-Pacific,0.85,,,4,4.1,,,Prell (1985),TTB,01/01/03,9.3,0,,36.2,,0.8,,0,,7,3.5,3.1,20.6,0.8,0,,0,0,0,2.7,0,0,1.9,0,0,0,,0,0,,,,0,,5.8,,,,,,,,,
V34-101,,17.49,67.42,3038,Indo-Pacific,0.4,,,4,1.9,,,Prell (1985),TTB,01/01/03,2.8,1.2,,37.2,,1.9,,0,,1.4,3.5,5.1,4.7,0.3,0.7,,0,0,0,6.3,0,0,5.6,0,0.7,0,,0,0.5,,,,0,,17.5,,,,,,,,,
V34-109,,19.73,66.08,2742,Indo-Pacific,0.8,,,4,3.9,,,Prell (1985),TTB,01/01/03,6.1,0.3,,30.9,,1.8,,0,,2.6,4.7,5.8,10,0,1.3,,0,0,0,6.1,0,0.3,4.5,0,0.8,0,,0,0,,,,0,,15,,,,,,,,,
V34-111,,17.62,63.88,3623,Indo-Pacific,0.6,,,4,2.9,,,Prell (1985),TTB,01/01/03,1.9,3.1,,36.9,,1.9,,0.3,,3.8,3.4,5,4.4,0.3,0.3,,0,0,0,9.1,0,0,4.1,0,2.2,0,,0,0,,,,0,,14.4,,,,,,,,,
Z2108,,-33.38,161.61,1448,Indo-Pacific,0.75,,,2,3.6,,,"Nelson et al., (1993b); Barrows et al. (2000)",TTB,01/01/03,7,0,,25,,1,,0,0,0,10,49,20,0,1,0,104,2,51,37,1,0,0,110,11,5,,1,5,,1,0,1,0,26,,,,3,,,,,
Z2112,,-33.53,166.53,2858,Indo-Pacific,0.935,,,2,4.5,,,Samson (1996),TTB,01/01/03,5,0,0,14,,0,,0,0,4,7,69,31,0,3,1,0,3,193,6,0,0,0,140,17,10,0,2,2,0,0,0,0,0,8,0,0,0,0,6,,,,
