"lgm_row","lgm_long","lgm_lat","row_findin","distance","Sample","Sample_ID","Flag","Device","Latitude","Longitude","Water_depth","Ocean","Sample_depth_top","Sample_depth_bottom","Sample_depth_average","Author","Journal","Year","Publication_doi","Resource_doi","Comment","Database","Type","Count_min","Count","Dentigloborotalia_anfracta","Globorotalia_cavernula","Globorotalia_crassaformis","Globorotalia_hirsuta","Globorotalia_menardii","Globorotalia_scitula","Globorotalia_truncatulinoides","Globorotalia_tumida","Globorotalia_ungulata","Globorotalia_theyeri","Globoconella_inflata","Neogloboquadrina_dutertrei","Neogloboquadrina_incompta","Neogloboquadrina_pachyderma","Pulleniatina_obliquiloculata","Globoquadrina_conglomerata","Globorotaloides_hexagonus","Berggrenia_pumilio","Globigerina_bulloides","Globigerina_falconensis","Globigerinoides_conglobatus","Globigerinoides_ruber","Globigerinoides_white","Trilobatus_sacculifer","Globigerinoides_tenellus","Orbulina_universa","Beella_digitata","Globigerinella_siphonifera","Globigerinella_calida","Globigerinella_adamsi","Turborotalita_quinqueloba","Turborotalita_humilis","Globoturborotalita_rubescens","Sphaeroidinella_dehiscens","Candeina_nitida","Globigerinita_glutinata","Globigerinita_uvula","Globigerinita_minuta","Tenuitella_iota","Hastigerina_pelagica","Hastigerinella_digitata","Globorotalia_menardii_._Globorotalia_tumida","Globigerinoides_ruber_._Globigerinoides_white","Turborotalita_humilis_._Berggrenia_pumilio","unidentified","site","woa_tmn","woa_tsd","woa_dist"
180,4.905,66.667,1836,28280.5105928349,"GIK23073-2","ATL947_0395",1,"Giant Box",66.8317,4.415,1338,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,313,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.594,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0.026,0,0,0,0,0,NA,NA,NA,0,"site1836",8.336,2.141,37114.3861
181,4.905,66.667,1836,28280.5105928349,"GIK23073-2","ATL947_0395",1,"Giant Box",66.8317,4.415,1338,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,313,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.594,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0.026,0,0,0,0,0,NA,NA,NA,0,"site1836",8.336,2.141,37114.3861
182,4.905,66.667,1836,28280.5105928349,"GIK23073-2","ATL947_0395",1,"Giant Box",66.8317,4.415,1338,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,313,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.594,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0.026,0,0,0,0,0,NA,NA,NA,0,"site1836",8.336,2.141,37114.3861
183,4.905,66.667,1836,28280.5105928349,"GIK23073-2","ATL947_0395",1,"Giant Box",66.8317,4.415,1338,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,313,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.594,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0.026,0,0,0,0,0,NA,NA,NA,0,"site1836",8.336,2.141,37114.3861
184,4.905,66.667,1836,28280.5105928349,"GIK23073-2","ATL947_0395",1,"Giant Box",66.8317,4.415,1338,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,313,0,0,0,0,0,0,0,0,0,0,0,0,0.282,0.594,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0,0,0.052,0,0,0,0,0.026,0,0,0,0,0,NA,NA,NA,0,"site1836",8.336,2.141,37114.3861
185,1.117,66.6,2153,0,"V27-86","ATL947_0879",1,"Piston",66.6,1.117,2900,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,769,0,0,0,0,0,0,0,0,0,0,0.002997003,0.000999001,0.307692308,0.478521479,0,0,0,0,0.067932068,0,0,0,0,0,0,0,0,0,0,0,0.124875125,0,0,0,0,0.016983017,0,0,0,0,0,NA,NA,NA,0,"site2153",8.257,2.065,20292.5246
186,1.117,66.6,2153,0,"V27-86","ATL947_0879",1,"Piston",66.6,1.117,2900,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,769,0,0,0,0,0,0,0,0,0,0,0.002997003,0.000999001,0.307692308,0.478521479,0,0,0,0,0.067932068,0,0,0,0,0,0,0,0,0,0,0,0.124875125,0,0,0,0,0.016983017,0,0,0,0,0,NA,NA,NA,0,"site2153",8.257,2.065,20292.5246
187,-29.5958,64.797,1908,286.101281305225,"GIK23519-4","ATL947_0470",1,"Giant Box",64.7995,-29.5972,1903,7,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,853,0,0,0,0,0,0.005994006,0,0,0,0,0.007992008,0.004995005,0.297702298,0.120879121,0,0,0,0,0.331668332,0,0,0,0,0,0,0.000999001,0,0,0,0,0.133866134,0,0,0,0,0.095904096,0,0,0,0,0,NA,NA,NA,0,"site1908",7.685,1.725,33660.5005
188,-29.5958,64.797,1908,286.101281305225,"GIK23519-4","ATL947_0470",1,"Giant Box",64.7995,-29.5972,1903,7,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,853,0,0,0,0,0,0.005994006,0,0,0,0,0.007992008,0.004995005,0.297702298,0.120879121,0,0,0,0,0.331668332,0,0,0,0,0,0,0.000999001,0,0,0,0,0.133866134,0,0,0,0,0.095904096,0,0,0,0,0,NA,NA,NA,0,"site1908",7.685,1.725,33660.5005
189,-29.5958,64.797,1908,286.101281305225,"GIK23519-4","ATL947_0470",1,"Giant Box",64.7995,-29.5972,1903,7,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,853,0,0,0,0,0,0.005994006,0,0,0,0,0.007992008,0.004995005,0.297702298,0.120879121,0,0,0,0,0.331668332,0,0,0,0,0,0,0.000999001,0,0,0,0,0.133866134,0,0,0,0,0.095904096,0,0,0,0,0,NA,NA,NA,0,"site1908",7.685,1.725,33660.5005
190,-29.57,64.783,1347,162.38660260659,"V28-14","BUFD_1106",0,"Trigger",64.78333333,-29.56666667,1855,7,NA,NA,NA,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,249,0,NA,0,0,0,0,0,0,NA,0,0,0.02811245,0.257028112,0.156626506,0,0,0,0,0.064257028,0,0,0,0,0,0,0,0,0,0,0,0.176706827,0,0,0,0,0.285140562,0,NA,0,NA,NA,NA,NA,NA,0.032128514,"site1347",7.685,1.725,31700.2576
191,-29.57,64.783,1347,162.38660260659,"V28-14","BUFD_1106",0,"Trigger",64.78333333,-29.56666667,1855,7,NA,NA,NA,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,249,0,NA,0,0,0,0,0,0,NA,0,0,0.02811245,0.257028112,0.156626506,0,0,0,0,0.064257028,0,0,0,0,0,0,0,0,0,0,0,0.176706827,0,0,0,0,0.285140562,0,NA,0,NA,NA,NA,NA,NA,0.032128514,"site1347",7.685,1.725,31700.2576
192,-53.8845,62.649,171,298019.404658573,"V17-196","CLIMAP_0204",0,"Piston",60.733,-57.83,2818,7,NA,NA,NA,"CLIMAP Project Members","Geological Society of America",1981,"N/A","doi:10.1594/PANGAEA.51927","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",1,1,NA,380,0,NA,0,0,0,0,0,0,NA,NA,0,0,0.013157895,0.984210526,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,"site171",4.267,2.652,31585.1623
193,-53.8845,62.649,171,298019.404658573,"V17-196","CLIMAP_0204",0,"Piston",60.733,-57.83,2818,7,NA,NA,NA,"CLIMAP Project Members","Geological Society of America",1981,"N/A","doi:10.1594/PANGAEA.51927","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",1,1,NA,380,0,NA,0,0,0,0,0,0,NA,NA,0,0,0.013157895,0.984210526,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,"site171",4.267,2.652,31585.1623
194,-53.8845,62.649,171,298019.404658573,"V17-196","CLIMAP_0204",0,"Piston",60.733,-57.83,2818,7,NA,NA,NA,"CLIMAP Project Members","Geological Society of America",1981,"N/A","doi:10.1594/PANGAEA.51927","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",1,1,NA,380,0,NA,0,0,0,0,0,0,NA,NA,0,0,0.013157895,0.984210526,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,"site171",4.267,2.652,31585.1623
195,-53.8845,62.649,171,298019.404658573,"V17-196","CLIMAP_0204",0,"Piston",60.733,-57.83,2818,7,NA,NA,NA,"CLIMAP Project Members","Geological Society of America",1981,"N/A","doi:10.1594/PANGAEA.51927","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",1,1,NA,380,0,NA,0,0,0,0,0,0,NA,NA,0,0,0.013157895,0.984210526,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,"site171",4.267,2.652,31585.1623
196,-53.8845,62.649,171,298019.404658573,"V17-196","CLIMAP_0204",0,"Piston",60.733,-57.83,2818,7,NA,NA,NA,"CLIMAP Project Members","Geological Society of America",1981,"N/A","doi:10.1594/PANGAEA.51927","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",1,1,NA,380,0,NA,0,0,0,0,0,0,NA,NA,0,0,0.013157895,0.984210526,0,0,0,0,0.002631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,"site171",4.267,2.652,31585.1623
197,-11.1787,61.873,1310,58624.1021566375,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
198,-11.1787,61.873,1310,58624.1021566375,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
199,-11.1787,61.873,1310,58624.1021566375,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
200,-11.1787,61.873,1310,58624.1021566375,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
201,-11.1787,61.873,1310,58624.1021566375,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
202,-11.1787,61.873,1310,58624.1021566375,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
203,-11.1787,61.873,1310,58624.1021566375,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
204,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
205,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
206,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
207,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
208,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
209,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
210,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
211,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
212,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
213,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
214,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
215,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
216,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
217,-11.2423,61.872,1310,57681.0107452879,"V27-38","BUFD_1066",0,"Piston",61.36666667,-11.48333333,1317,7,NA,NA,0.01,"Prell et al.","IGBP PAGES/World Data Center-A for Paleoclimatology ",1999,"N/A","https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html","G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,NA,377,0,NA,0,0.013262599,0,0.013262599,0,0,NA,0,0.053050398,0.01061008,0.24668435,0.421750663,0,0,0,0,0.108753316,0.00265252,0,0,0,0,0,0.00265252,0,0.00265252,0,0,0.087533156,0,0,0,0,0.018567639,0,NA,0,NA,NA,NA,NA,NA,0.018567639,"site1310",9.492,1.776,14869.0892
