"lgm_row","lgm_long","lgm_lat","row_findin","distance","Sample","Sample_ID","Flag","Device","Latitude","Longitude","Water_depth","Ocean","Sample_depth_top","Sample_depth_bottom","Sample_depth_average","Author","Journal","Year","Publication_doi","Resource_doi","Comment","Database","Type","Count_min","Count","Dentigloborotalia_anfracta","Globorotalia_cavernula","Globorotalia_crassaformis","Globorotalia_hirsuta","Globorotalia_menardii","Globorotalia_scitula","Globorotalia_truncatulinoides","Globorotalia_tumida","Globorotalia_ungulata","Globorotalia_theyeri","Globoconella_inflata","Neogloboquadrina_dutertrei","Neogloboquadrina_incompta","Neogloboquadrina_pachyderma","Pulleniatina_obliquiloculata","Globoquadrina_conglomerata","Globorotaloides_hexagonus","Berggrenia_pumilio","Globigerina_bulloides","Globigerina_falconensis","Globigerinoides_conglobatus","Globigerinoides_ruber","Globigerinoides_white","Trilobatus_sacculifer","Globigerinoides_tenellus","Orbulina_universa","Beella_digitata","Globigerinella_siphonifera","Globigerinella_calida","Globigerinella_adamsi","Turborotalita_quinqueloba","Turborotalita_humilis","Globoturborotalita_rubescens","Sphaeroidinella_dehiscens","Candeina_nitida","Globigerinita_glutinata","Globigerinita_uvula","Globigerinita_minuta","Tenuitella_iota","Hastigerina_pelagica","Hastigerinella_digitata","Globorotalia_menardii_._Globorotalia_tumida","Globigerinoides_ruber_._Globigerinoides_white","Turborotalita_humilis_._Berggrenia_pumilio","unidentified","site","woa_tmn","woa_tsd","woa_dist"
21,-4.6077,79.6,2001,54613.8528984335,"PS1309-3","ATL947_0564",1,"Giant Box",80.0017,-3.0167,2515,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,483,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2001",-1.157,0.261,56213.1719
22,-4.6077,79.6,2001,54613.8528984335,"PS1309-3","ATL947_0564",1,"Giant Box",80.0017,-3.0167,2515,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,483,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2001",-1.157,0.261,56213.1719
23,-4.6077,79.6,2001,54613.8528984335,"PS1309-3","ATL947_0564",1,"Giant Box",80.0017,-3.0167,2515,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,483,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site2001",-1.157,0.261,56213.1719
24,-4.7812,78.855,1979,33.395882286583,"PS1230-1","ATL947_0542",1,"Giant Box",78.8553,-4.7812,1249,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. quinqueloba subspecies set to N/A, T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,336,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site1979",-1.28,0.869,40026.3195
25,-4.7812,78.855,1979,33.395882286583,"PS1230-1","ATL947_0542",1,"Giant Box",78.8553,-4.7812,1249,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. quinqueloba subspecies set to N/A, T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,336,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site1979",-1.28,0.869,40026.3195
26,4.58,77.46,1995,62958.3199878244,"PS1294-3","ATL947_0558",1,"Giant Box",78.0016,5.3467,2677,513,0,0.01,0.005,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. quinqueloba sum corrected, T. sacculifer subspecies set to N/A, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",12,0,NA,429,NA,0,0,0,0,0,0,0,NA,NA,0,0,0.001986097,0.984111221,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0.011916584,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.001986097,"site1995",3.033,1.981,55590.303
27,8.3333,76,1878,51727.6556685618,"GIK23398-2","ATL947_0439",0,"Giant Box",76.4367,9,2229,513,NA,NA,NA,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, G. truncatulinoides subspecies set to N/A",4,0,NA,562,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site1878",3.08,2.25,14807.4518
28,8.3333,76,1878,51727.6556685618,"GIK23398-2","ATL947_0439",0,"Giant Box",76.4367,9,2229,513,NA,NA,NA,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, G. truncatulinoides subspecies set to N/A",4,0,NA,562,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site1878",3.08,2.25,14807.4518
29,8.3333,76,1878,51727.6556685618,"GIK23398-2","ATL947_0439",0,"Giant Box",76.4367,9,2229,513,NA,NA,NA,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, G. truncatulinoides subspecies set to N/A",4,0,NA,562,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site1878",3.08,2.25,14807.4518
30,8.3333,76,1878,51727.6556685618,"GIK23398-2","ATL947_0439",0,"Giant Box",76.4367,9,2229,513,NA,NA,NA,"Pflaumann, U.","Paleoceanography",2003,"doi:10.1029/2002PA000774","doi:10.1594/PANGAEA.77352","T. sacculifer subspecies set to N/A, missing count data set to zero as sample is assumed to be complete, G. truncatulinoides subspecies set to N/A",4,0,NA,562,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,"site1878",3.08,2.25,14807.4518
