"sample","c22","Lat","Long"
162,0.456430232215911,66.97,7.6393
163,0.456101028634522,66.97,7.6393
164,0.852230797826202,66.667,4.905
165,0.850658491839828,66.667,4.905
166,0.849730553999076,66.667,4.905
167,0.846678075614702,66.667,4.905
168,0.84558407476157,66.667,4.905
169,0.840487327721698,66.667,4.905
170,0.850876648104957,66.667,4.905
171,0.849717507308382,66.667,4.905
172,0.851127428199647,66.667,4.905
173,0.85210501274877,66.667,4.905
174,0.847036457847073,66.667,4.905
175,0.85176933648961,66.667,4.905
176,0.847036457847073,66.667,4.905
177,0.84927524785375,66.667,4.905
178,0.858666512147855,66.667,4.905
179,0.849211595281379,66.667,4.905
180,0.856661871488623,66.667,4.905
181,0.862162306744215,66.667,4.905
182,0.846809786181404,66.667,4.905
183,0.855235701053717,66.667,4.905
184,0.847761970219983,66.667,4.905
185,0.746148137047729,66.6,1.117
186,0.736937712847121,66.6,1.117
187,0.213290778896536,64.797,-29.5958
188,0.217223650598704,64.797,-29.5958
189,0.20242534827239,64.797,-29.5958
190,0.293331264029195,64.783,-29.57
191,0.285754029609971,64.783,-29.57
192,1,62.649,-53.8845
193,1,62.649,-53.8845
194,1,62.649,-53.8845
195,1,62.649,-53.8845
196,1,62.649,-53.8845
197,0.714054569400697,61.873,-11.1787
198,0.709448522809537,61.873,-11.1787
199,0.708818006562501,61.873,-11.1787
200,0.701418223867723,61.873,-11.1787
201,0.722104222846245,61.873,-11.1787
202,0.714430544853808,61.873,-11.1787
203,0.717571424086605,61.873,-11.1787
204,0.723046660163975,61.872,-11.2423
205,0.72355259049466,61.872,-11.2423
206,0.713232945650585,61.872,-11.2423
207,0.706841162727219,61.872,-11.2423
208,0.704971652715591,61.872,-11.2423
209,0.719608763487161,61.872,-11.2423
210,0.713464295737971,61.872,-11.2423
211,0.719878229010092,61.872,-11.2423
212,0.722004613397337,61.872,-11.2423
213,0.721899173431768,61.872,-11.2423
214,0.727229056274193,61.872,-11.2423
215,0.726287538453103,61.872,-11.2423
216,0.707993839964343,61.872,-11.2423
217,0.715298729432743,61.872,-11.2423
218,0.710087055687123,61.872,-11.2423
219,0.712847900818225,61.872,-11.2423
220,0.712168421525603,61.872,-11.2423
221,0.707957769133856,61.872,-11.2423
222,0.710909089494483,61.872,-11.2423
223,0.708209472611778,61.872,-11.2423
224,0.707908981231751,61.872,-11.2423
225,0.712876161825756,61.872,-11.2423
226,0.717913464349953,61.872,-11.2423
227,0.7259514774484,61.872,-11.2423
