Sample,Historical,Holocene,LGM,Historical,Holocene,LGM,Historical,Holocene,LGM
Sample/core number,M.192,CLIMAP_0078,E45-078,M.8780,CLIMAP_0070,RC14-009,M.5246,MARGO_2820,RC11-145
Latitude,-50.02,-47.77,-45.04,-40.45,-43.63,-39.02,-26.94,-26.97,-25.48
Longitude,123.07,123.10,114.35,49.82,51.27,47.88,111.18,111.33,110.02
Distance (km),0.00,250.11,857.04,0.00,373.73,229.83,0.00,15.42,199.38
Species,,,,,,,,,
Beella digitata,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Berggrenia pumilio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Candeina nitida,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dentigloborotalia anfracta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerina bulloides,55.03,60.71,51.67,21.47,31.61,25.58,4.66,8.85,1.81
Globigerina falconensis,0.00,0.00,0.00,2.26,0.00,0.66,3.94,0.66,3.32
Globigerinella adamsi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinella calida,0.31,0.00,0.00,0.56,0.00,0.00,2.15,0.00,0.30
Globigerinella siphonifera,0.00,0.00,0.00,0.00,0.00,0.33,1.79,5.53,1.21
Globigerinita glutinata,1.57,1.53,3.67,2.82,2.07,1.99,18.64,19.25,18.73
Globigerinita minuta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinita uvula,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinoides conglobatus,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.33,0.60
Globigerinoides ruber,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globigerinoides tenellus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.30
Globigerinoides white,0.00,0.00,0.00,1.69,0.00,1.00,26.16,28.10,16.92
Globoconella inflata,30.19,20.66,17.33,32.77,22.80,11.63,3.58,6.19,47.73
Globoquadrina conglomerata,0.00,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.00
Globorotalia crassaformis,0.00,0.00,0.33,0.00,0.00,0.00,0.72,0.00,0.60
Globorotalia hirsuta,0.00,0.00,0.00,0.00,0.00,0.66,0.00,1.00,0.00
Globorotalia menardii,0.00,0.00,0.00,0.00,0.00,0.00,13.26,9.85,0.30
Globorotalia scitula,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
Globorotalia theyeri,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globorotalia truncatulinoides,4.40,6.12,1.33,5.65,0.52,1.66,2.15,1.66,1.51
Globorotalia tumida,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globorotalia ungulata,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00
Globorotaloides hexagonus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Globoturborotalita rubescens,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00
Neogloboquadrina dutertrei,0.00,0.00,0.00,0.00,0.00,1.00,12.19,3.87,3.93
Neogloboquadrina incompta,2.52,3.32,4.67,9.60,0.78,40.53,1.43,1.00,0.91
Neogloboquadrina pachyderma,5.97,6.63,14.33,21.47,42.23,5.65,0.00,0.00,0.00
Orbulina universa,0.00,0.51,0.33,0.56,0.00,0.33,0.36,0.66,0.60
Pulleniatina obliquiloculata,0.00,0.00,0.00,0.00,0.00,0.00,0.72,1.66,0.00
Sphaeroidinella dehiscens,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tenuitella iota,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trilobatus sacculifer,0.00,0.00,0.00,0.00,0.00,0.00,6.09,5.86,0.00
Turborotalita humilis,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00
Turborotalita quinqueloba,0.00,0.00,5.67,1.13,0.00,8.64,0.00,0.00,0.00
