"sample","Estimate","se","lci","uci","age","CqN","lat","long"
"A44",0.7027,0.0563,0.592352,0.813048,"Historical vs. Holocene","0",-7.59167,61.48333
"A44",0.850025124841585,0.0401753700357342,0.771281399571546,0.928768850111624,"Historical vs. LGM","1",-7.59167,61.48333
"A44",0.85097014032086,0.0355151859653534,0.781360375828768,0.920579904812953,"Holocene vs. LGM","1",-7.59167,61.48333
"A44",0.6842,0.0556,0.575224,0.793176,"Historical vs. LGM","0",-7.59167,61.48333
"A44",0.9231,0.0602,0.805108,1.041092,"Holocene vs. LGM","0",-7.59167,61.48333
"A46",0.961894594104361,0.0386504388437331,0.886139733970644,1,"Historical vs. Holocene","2",-0.7,147
"A46",0.917209983543646,0.0480468697129208,0.823038118906321,1,"Historical vs. LGM","2",-0.7,147
"A46",0.943111736072769,0.0290807538410002,0.886113458544409,1,"Historical vs. Holocene","1",-0.7,147
"A46",0.90190095554341,0.0342256142022577,0.834818751706985,0.968983159379835,"Historical vs. LGM","1",-0.7,147
"A46",0.898270119651066,0.0494594799672821,0.801329538915193,0.995210700386939,"Holocene vs. LGM","2",-0.7,147
"A46",0.7619,0.0666,0.631364,0.892436,"Historical vs. Holocene","0",-0.7,147
"A46",0.8667,0.0627,0.743808,0.989592,"Historical vs. LGM","0",-0.7,147
"A46",0.904205923619327,0.0390709930578643,0.827626777225913,0.980785070012741,"Holocene vs. LGM","1",-0.7,147
"A46",0.7,0.0749,0.553196,0.846804,"Holocene vs. LGM","0",-0.7,147
"A5",0.8571,0.0753,0.709512,1.004688,"Historical vs. Holocene","0",-50.01667,123.06667
"A5",0.986825958785603,0.0172760577314949,0.952964885631873,1,"Historical vs. Holocene","1",-50.01667,123.06667
"A5",0.984345450894429,0.0248848189229122,0.935571205805521,1,"Historical vs. Holocene","2",-50.01667,123.06667
"A5",0.95895350430372,0.0283525294836013,0.903382546515862,1,"Historical vs. LGM","2",-50.01667,123.06667
"A5",0.970626752558932,0.0236498683297258,0.924273010632669,1,"Holocene vs. LGM","2",-50.01667,123.06667
"A5",0.6667,0.0878,0.494612,0.838788,"Historical vs. LGM","0",-50.01667,123.06667
"A5",0.925850832962249,0.0281157870903484,0.870743890265166,0.980957775659332,"Historical vs. LGM","1",-50.01667,123.06667
"A5",0.936098657328394,0.0267563356907697,0.883656239374485,0.988541075282302,"Holocene vs. LGM","1",-50.01667,123.06667
"A5",0.7778,0.0757,0.629428,0.926172,"Holocene vs. LGM","0",-50.01667,123.06667
"A55",0.901868685995755,0.0607344828203124,0.782829099667942,1,"Historical vs. Holocene","2",24.33333,-24.46667
"A55",0.932091939249853,0.0363764117686952,0.86079417218321,1,"Historical vs. Holocene","1",24.33333,-24.46667
"A55",0.450311364741588,0.0618452436916332,0.329094687105987,0.571528042377189,"Historical vs. LGM","1",24.33333,-24.46667
"A55",0.213053665907224,0.0550090673465194,0.105235893908046,0.320871437906402,"Historical vs. LGM","2",24.33333,-24.46667
"A55",0.8718,0.0664,0.741656,1.001944,"Historical vs. Holocene","0",24.33333,-24.46667
"A55",0.7059,0.0734,0.562036,0.849764,"Historical vs. LGM","0",24.33333,-24.46667
"A55",0.6486,0.0654,0.520416,0.776784,"Holocene vs. LGM","0",24.33333,-24.46667
"A55",0.39923976909689,0.0588833632568432,0.283828377113478,0.514651161080303,"Holocene vs. LGM","1",24.33333,-24.46667
"A55",0.173434206512027,0.0451051752453594,0.0850280630311227,0.261840349992932,"Holocene vs. LGM","2",24.33333,-24.46667
