,5A,5B,5C,10A,10B,10C,20A,20B,20C,25A,25B,25C,27A,27B,27C,31A,31B,31C,44A,44B,44C,46A,46B,46C,55A,55B,55C,66A,66B,66C,,,,
Globigerina_bulloides,175,0,238,38,0,122,13,0,27,4,0,7,2,0,10,3,0,3,8,3,19,28,0,77,6,0,10,0,0,0,,,,
Globigerina_falconensis,0,0,0,4,0,0,11,0,2,17,9,19,2,0,8,6,0,4,0,0,0,12,0,15,0,0,0,0,0,0,,,,
Globoturborotalita_rubescens,0,0,0,0,0,0,0,0,1,3,5,11,2,11,6,4,9,19,4,0,0,4,8,42,0,0,0,0,0,0,,,,
Globigerinoides_tenellus,0,0,0,0,0,0,0,1,16,20,7,24,9,10,2,19,21,20,0,0,1,6,0,26,0,0,1,0,0,0,,,,
Globorotalia_menardii,0,0,0,0,0,0,37,66,30,0,33,14,1,13,3,0,24,0,30,19,53,1,18,41,23,49,60,0,0,0,,,,
Globorotalia_tumida,0,0,0,0,0,0,0,0,0,2,8,2,0,9,3,0,12,0,15,11,7,2,9,29,7,0,19,0,0,0,,,,
Globoconella_inflata,96,0,81,58,81,88,10,15,19,31,9,11,2,0,3,0,0,0,0,0,0,0,0,0,35,0,72,0,0,0,,,,
Globorotalia_crassaformis,0,0,0,0,0,0,2,0,0,2,0,2,1,1,0,0,0,0,0,2,0,0,0,8,5,6,8,0,0,0,,,,
Globorotalia_truncatulinoides,14,12,24,10,6,2,6,31,5,12,4,29,3,8,5,0,2,1,1,2,0,0,0,9,10,0,35,0,0,0,,,,
Globorotalia_hirsuta,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
Globorotalia_scitula,0,0,0,0,0,0,0,18,0,2,0,9,1,0,5,0,0,0,5,4,3,0,0,4,0,0,1,0,0,0,,,,
Globorotalia_ungulata,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,
Globorotaloides_hexagonus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,10,13,0,0,2,0,0,0,0,0,0,,,,
Neogloboquadrina_dutertrei,0,0,0,0,0,0,34,23,12,1,4,1,11,7,10,4,19,1,21,22,30,9,13,87,7,0,25,0,0,0,,,,
Neogloboquadrina_incompta,8,0,13,38,0,3,4,0,3,1,0,0,0,0,3,0,0,0,33,0,1,10,0,5,33,0,21,0,0,2,,,,
Neogloboquadrina_pachyderma,19,0,26,17,0,163,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,1,0,0,0,226,78,530,,,,
Globigerinella_siphonifera,0,0,0,0,0,0,5,10,17,4,11,28,29,10,9,10,20,23,16,11,18,14,8,109,2,0,13,0,0,0,,,,
Globigerinella_calida,1,0,0,1,0,0,6,18,0,8,6,15,11,7,7,15,0,24,0,3,5,12,0,51,3,0,1,0,0,0,,,,
Globigerinoides_ruber,0,0,0,3,0,0,73,23,84,95,97,219,196,14,207,131,30,191,53,11,91,115,11,524,68,0,69,0,0,0,,,,
Globigerinoides_conglobatus,0,0,0,0,0,0,1,9,1,3,70,4,12,9,2,8,18,25,6,8,13,2,14,26,2,0,8,0,0,0,,,,
Globigerinoides_sacculifer,0,0,0,0,0,0,17,34,18,30,19,28,52,9,35,32,31,57,13,21,60,28,23,196,46,0,76,0,0,0,,,,
Orbulina_universa,0,0,2,1,0,0,1,0,2,6,5,17,3,0,10,4,0,12,0,2,1,0,0,2,1,0,1,0,0,0,,,,
Pulleniatina_obliquiloculata,0,0,0,0,0,0,2,13,5,3,4,0,7,10,0,0,10,0,16,14,12,22,18,224,5,0,3,0,0,0,,,,
Globoquadrina_conglomerata,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,13,18,1,3,16,0,0,0,0,0,0,,,,
Globigerinita_glutinata,5,0,6,5,0,8,52,27,58,18,15,68,24,16,34,63,35,97,77,18,25,65,22,315,2,0,13,0,0,0,,,,
Candeina_nitida,0,0,0,0,0,0,0,0,0,0,8,0,1,3,1,0,5,0,0,1,0,0,0,4,0,0,0,0,0,0,,,,
Beella_digitata,0,0,0,0,0,0,0,1,0,0,4,11,2,3,0,1,1,1,0,2,1,0,0,2,0,0,2,0,0,0,,,,
Turborotalita_quinqueloba,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,2,,,,
Turborotalita_humilis,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,1,1,0,0,0,2,0,3,10,0,0,0,0,,,,
Sphaeroidinella_dehiscens,0,0,0,0,0,0,0,12,0,0,6,0,1,9,1,0,1,0,1,10,3,0,1,4,2,0,4,0,0,0,,,,
Hastigerina_pelagica,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Berggrenia_pumilio,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Globorotalia_theyeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
unidentified,0,0,2,0,0,0,0,11,0,0,0,6,0,12,1,0,25,0,0,1,4,0,15,13,0,0,0,0,0,0,,,,
total_counts,318,12,392,177,87,386,279,313,300,265,346,528,376,171,367,300,263,500,305,194,378,331,165,1834,260,65,442,226,78,534,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
