"area","diam.max","species","sspname","sample","dataset","datasetAB","area_log","total_ind","area_max","area_log_max"
119261.6976,444.9035482,"calida","G.calida",25,"Resample","A",11.6890754970215,8,143339.9578,11.872974415143
100849.2849,411.820253,"calida","G.calida",25,"Resample","A",11.5213824526284,8,143339.9578,11.872974415143
62599.40142,313.7897385,"calida","G.calida",25,"Resample","A",11.0445109950616,8,143339.9578,11.872974415143
39476.27393,260.7297119,"calida","G.calida",25,"Resample","A",10.5834551104207,8,143339.9578,11.872974415143
63382.61029,320.4083178,"calida","G.calida",25,"Resample","A",11.0569448171554,8,143339.9578,11.872974415143
63014.5658,327.2919948,"calida","G.calida",25,"Resample","A",11.0511211818249,8,143339.9578,11.872974415143
143339.9578,532.0822677,"calida","G.calida",25,"Resample","A",11.872974415143,8,143339.9578,11.872974415143
25057.58971,207.2048613,"calida","G.calida",25,"Resample","A",10.1289320430582,8,143339.9578,11.872974415143
47969.31448,290.8727107,"calida","G.calida",27,"Resample","A",10.7783168037957,11,121387.1864,11.7067406034372
38718.53527,256.1593663,"calida","G.calida",27,"Resample","A",10.5640737119043,11,121387.1864,11.7067406034372
40063.36221,258.0589146,"calida","G.calida",27,"Resample","A",10.5982175350539,11,121387.1864,11.7067406034372
35229.11691,238.9008999,"calida","G.calida",27,"Resample","A",10.4696282046005,11,121387.1864,11.7067406034372
49054.3453,296.8038606,"calida","G.calida",27,"Resample","A",10.8006840502644,11,121387.1864,11.7067406034372
60490.46827,334.4034549,"calida","G.calida",27,"Resample","A",11.0102410823505,11,121387.1864,11.7067406034372
53046.80026,303.7172623,"calida","G.calida",27,"Resample","A",10.8789298266717,11,121387.1864,11.7067406034372
32405.74445,247.3061558,"calida","G.calida",27,"Resample","A",10.3860909839045,11,121387.1864,11.7067406034372
121387.1864,463.6497543,"calida","G.calida",27,"Resample","A",11.7067406034372,11,121387.1864,11.7067406034372
93685.78915,416.417719,"calida","G.calida",27,"Resample","A",11.4477017934374,11,121387.1864,11.7067406034372
100602.2239,424.5872173,"calida","G.calida",27,"Resample","A",11.5189296427653,11,121387.1864,11.7067406034372
115697.7123,412.4339225,"conglobatus","G.conglobatus",20,"Resample","A",11.6587361402983,1,115697.7123,11.6587361402983
122559.126,417.7266108,"conglobatus","G.conglobatus",25,"Resample","A",11.7163488537479,3,122559.126,11.7163488537479
62470.01167,316.0593569,"conglobatus","G.conglobatus",25,"Resample","A",11.0424419072973,3,122559.126,11.7163488537479
61099.97486,306.0542161,"conglobatus","G.conglobatus",25,"Resample","A",11.020266733703,3,122559.126,11.7163488537479
100745.6935,387.1707039,"conglobatus","G.conglobatus",27,"Resample","A",11.5203547344785,12,405236.8277,12.9122269349364
291811.2598,661.1297823,"conglobatus","G.conglobatus",27,"Resample","A",12.583862501715,12,405236.8277,12.9122269349364
73562.32952,339.0914828,"conglobatus","G.conglobatus",27,"Resample","A",11.2058883465148,12,405236.8277,12.9122269349364
83876.43316,356.0327445,"conglobatus","G.conglobatus",27,"Resample","A",11.3370999609834,12,405236.8277,12.9122269349364
127265.3273,459.7804392,"conglobatus","G.conglobatus",27,"Resample","A",11.7540293774539,12,405236.8277,12.9122269349364
165525.0988,491.2384307,"conglobatus","G.conglobatus",27,"Resample","A",12.0168781166816,12,405236.8277,12.9122269349364
75057.36525,360.831734,"conglobatus","G.conglobatus",27,"Resample","A",11.2260079701545,12,405236.8277,12.9122269349364
405236.8277,793.3474555,"conglobatus","G.conglobatus",27,"Resample","A",12.9122269349364,12,405236.8277,12.9122269349364
113014.8438,407.7875532,"conglobatus","G.conglobatus",27,"Resample","A",11.6352744501293,12,405236.8277,12.9122269349364
114233.873,404.1331682,"conglobatus","G.conglobatus",27,"Resample","A",11.646003143432,12,405236.8277,12.9122269349364
287007.4307,642.6439907,"conglobatus","G.conglobatus",27,"Resample","A",12.5672633853474,12,405236.8277,12.9122269349364
100584.6896,392.2506014,"conglobatus","G.conglobatus",27,"Resample","A",11.5187553342107,12,405236.8277,12.9122269349364
126148.1577,412.0319686,"conglobatus","G.conglobatus",31,"Resample","A",11.7452123499198,8,378533.1895,12.8440590349374
53453.2775,299.3275772,"conglobatus","G.conglobatus",31,"Resample","A",10.886563233563,8,378533.1895,12.8440590349374
223174.3337,585.0226195,"conglobatus","G.conglobatus",31,"Resample","A",12.3157085104936,8,378533.1895,12.8440590349374
175369.3341,512.1538387,"conglobatus","G.conglobatus",31,"Resample","A",12.0746495095415,8,378533.1895,12.8440590349374
80840.3606,343.4147284,"conglobatus","G.conglobatus",31,"Resample","A",11.3002316321706,8,378533.1895,12.8440590349374
285242.96,658.5902219,"conglobatus","G.conglobatus",31,"Resample","A",12.5610965873146,8,378533.1895,12.8440590349374
98123.6308,373.3627728,"conglobatus","G.conglobatus",31,"Resample","A",11.4939835013568,8,378533.1895,12.8440590349374
378533.1895,745.4682105,"conglobatus","G.conglobatus",31,"Resample","A",12.8440590349374,8,378533.1895,12.8440590349374
217749.0862,555.2079514,"conglobatus","G.conglobatus",44,"Resample","A",12.2910986981503,6,381469.5536,12.8517863194446
66214.81478,305.8114778,"conglobatus","G.conglobatus",44,"Resample","A",11.1006595051058,6,381469.5536,12.8517863194446
381469.5536,751.2115481,"conglobatus","G.conglobatus",44,"Resample","A",12.8517863194446,6,381469.5536,12.8517863194446
92812.93171,369.3053939,"conglobatus","G.conglobatus",44,"Resample","A",11.4383412593892,6,381469.5536,12.8517863194446
302401.0264,680.7032616,"conglobatus","G.conglobatus",44,"Resample","A",12.6195093174616,6,381469.5536,12.8517863194446
293059.8176,656.856837,"conglobatus","G.conglobatus",44,"Resample","A",12.5881320227937,6,381469.5536,12.8517863194446
425825.6055,786.5445676,"conglobatus","G.conglobatus",46,"Resample","A",12.9617851646734,2,425825.6055,12.9617851646734
160333.5461,482.4918868,"conglobatus","G.conglobatus",46,"Resample","A",11.9850115874459,2,425825.6055,12.9617851646734
54454.0292,291.5156014,"crassaformis","G.crassaformis",55,"Resample","A",10.9051121237868,5,235750.9631,12.3705312857472
30673.77037,216.3012329,"crassaformis","G.crassaformis",55,"Resample","A",10.3311631830381,5,235750.9631,12.3705312857472
29246.16527,208.8485806,"crassaformis","G.crassaformis",55,"Resample","A",10.2835037421851,5,235750.9631,12.3705312857472
235750.9631,588.520697,"crassaformis","G.crassaformis",55,"Resample","A",12.3705312857472,5,235750.9631,12.3705312857472
152799.5927,477.3164592,"crassaformis","G.crassaformis",55,"Resample","A",11.9368824901351,5,235750.9631,12.3705312857472
386229.6171,776.9538301,"dehiscens","S.dehiscens",27,"Resample","A",12.8641873345395,1,386229.6171,12.8641873345395
407224.0381,785.1864897,"dehiscens","S.dehiscens",44,"Resample","A",12.9171187751382,1,407224.0381,12.9171187751382
122166.9827,432.9540493,"dutertrei","N.dutertrei",20,"Resample","A",11.7131440985405,32,200958.1815,12.2108521131565
175642.3564,539.0205824,"dutertrei","N.dutertrei",20,"Resample","A",12.076205140664,32,200958.1815,12.2108521131565
66866.07215,331.4998881,"dutertrei","N.dutertrei",20,"Resample","A",11.1104469747256,32,200958.1815,12.2108521131565
98542.99321,398.421169,"dutertrei","N.dutertrei",20,"Resample","A",11.4982482112201,32,200958.1815,12.2108521131565
138421.9742,473.8521813,"dutertrei","N.dutertrei",20,"Resample","A",11.838062082684,32,200958.1815,12.2108521131565
81280.0997,344.6644692,"dutertrei","N.dutertrei",20,"Resample","A",11.3056564894356,32,200958.1815,12.2108521131565
113502.1106,406.8505126,"dutertrei","N.dutertrei",20,"Resample","A",11.6395767113254,32,200958.1815,12.2108521131565
107912.3682,407.6586333,"dutertrei","N.dutertrei",20,"Resample","A",11.5890747711831,32,200958.1815,12.2108521131565
161706.5681,507.0932631,"dutertrei","N.dutertrei",20,"Resample","A",11.9935386637879,32,200958.1815,12.2108521131565
146675.4577,475.0065388,"dutertrei","N.dutertrei",20,"Resample","A",11.8959776542937,32,200958.1815,12.2108521131565
148783.8242,478.9738895,"dutertrei","N.dutertrei",20,"Resample","A",11.9102496871386,32,200958.1815,12.2108521131565
76209.73539,345.1415756,"dutertrei","N.dutertrei",20,"Resample","A",11.2412444945376,32,200958.1815,12.2108521131565
90464.34987,393.1395318,"dutertrei","N.dutertrei",20,"Resample","A",11.4127111279911,32,200958.1815,12.2108521131565
146798.8742,471.5949655,"dutertrei","N.dutertrei",20,"Resample","A",11.8968187261958,32,200958.1815,12.2108521131565
166206.1307,499.1052725,"dutertrei","N.dutertrei",20,"Resample","A",12.0209840482081,32,200958.1815,12.2108521131565
124573.6059,438.6533095,"dutertrei","N.dutertrei",20,"Resample","A",11.7326520322381,32,200958.1815,12.2108521131565
54143.88016,291.5089272,"dutertrei","N.dutertrei",20,"Resample","A",10.8994002296065,32,200958.1815,12.2108521131565
68851.02208,339.8263059,"dutertrei","N.dutertrei",20,"Resample","A",11.139700349072,32,200958.1815,12.2108521131565
81372.66214,351.6653964,"dutertrei","N.dutertrei",20,"Resample","A",11.3067946496358,32,200958.1815,12.2108521131565
136781.5622,470.6835856,"dutertrei","N.dutertrei",20,"Resample","A",11.8261404958473,32,200958.1815,12.2108521131565
139527.581,474.9848865,"dutertrei","N.dutertrei",20,"Resample","A",11.8460175739625,32,200958.1815,12.2108521131565
133922.4115,445.9430928,"dutertrei","N.dutertrei",20,"Resample","A",11.8050158925803,32,200958.1815,12.2108521131565
199780.5816,571.6929279,"dutertrei","N.dutertrei",20,"Resample","A",12.2049749512842,32,200958.1815,12.2108521131565
191408.8239,528.2518525,"dutertrei","N.dutertrei",20,"Resample","A",12.1621668588192,32,200958.1815,12.2108521131565
51474.99671,275.1001138,"dutertrei","N.dutertrei",20,"Resample","A",10.8488514679815,32,200958.1815,12.2108521131565
79927.65973,335.9377526,"dutertrei","N.dutertrei",20,"Resample","A",11.2888772511973,32,200958.1815,12.2108521131565
137722.6136,440.3323546,"dutertrei","N.dutertrei",20,"Resample","A",11.8329968949082,32,200958.1815,12.2108521131565
103659.6387,414.3461612,"dutertrei","N.dutertrei",20,"Resample","A",11.5488681063045,32,200958.1815,12.2108521131565
78693.49398,361.7850477,"dutertrei","N.dutertrei",20,"Resample","A",11.2733157623733,32,200958.1815,12.2108521131565
200958.1815,566.7966906,"dutertrei","N.dutertrei",20,"Resample","A",12.2108521131565,32,200958.1815,12.2108521131565
91883.64049,378.8106134,"dutertrei","N.dutertrei",20,"Resample","A",11.4282782782427,32,200958.1815,12.2108521131565
82036.02623,358.1062785,"dutertrei","N.dutertrei",20,"Resample","A",11.3149137740312,32,200958.1815,12.2108521131565
67407.09563,324.4666392,"dutertrei","N.dutertrei",27,"Resample","A",11.1185055677687,11,111809.0016,11.6245473516677
79725.99066,372.3632921,"dutertrei","N.dutertrei",27,"Resample","A",11.2863509177653,11,111809.0016,11.6245473516677
78676.46182,344.9708816,"dutertrei","N.dutertrei",27,"Resample","A",11.2730993022493,11,111809.0016,11.6245473516677
109748.1452,418.5268869,"dutertrei","N.dutertrei",27,"Resample","A",11.6059434305668,11,111809.0016,11.6245473516677
104671.4013,396.3908763,"dutertrei","N.dutertrei",27,"Resample","A",11.5585812105495,11,111809.0016,11.6245473516677
73135.27124,357.4958156,"dutertrei","N.dutertrei",27,"Resample","A",11.2000660360721,11,111809.0016,11.6245473516677
87012.3748,362.5776261,"dutertrei","N.dutertrei",27,"Resample","A",11.3738056266022,11,111809.0016,11.6245473516677
99582.59379,396.5861096,"dutertrei","N.dutertrei",27,"Resample","A",11.5087426671556,11,111809.0016,11.6245473516677
111809.0016,420.4464758,"dutertrei","N.dutertrei",27,"Resample","A",11.6245473516677,11,111809.0016,11.6245473516677
104476.3739,408.2154413,"dutertrei","N.dutertrei",27,"Resample","A",11.5567162377441,11,111809.0016,11.6245473516677
61867.91564,319.5935956,"dutertrei","N.dutertrei",27,"Resample","A",11.0327569986089,11,111809.0016,11.6245473516677
163471.4783,492.3174859,"dutertrei","N.dutertrei",31,"Resample","A",12.0043938094539,4,317499.588,12.6682317996762
102129.0122,407.6545809,"dutertrei","N.dutertrei",31,"Resample","A",11.5339921185387,4,317499.588,12.6682317996762
154067.5393,497.4564445,"dutertrei","N.dutertrei",31,"Resample","A",11.9451463521365,4,317499.588,12.6682317996762
317499.588,728.5287319,"dutertrei","N.dutertrei",31,"Resample","A",12.6682317996762,4,317499.588,12.6682317996762
160100.2549,507.6689186,"dutertrei","N.dutertrei",44,"Resample","A",11.9835554911135,21,207123.2358,12.2410692371307
143175.1361,481.7558403,"dutertrei","N.dutertrei",44,"Resample","A",11.8718238878466,21,207123.2358,12.2410692371307
90720.73959,373.573926,"dutertrei","N.dutertrei",44,"Resample","A",11.4155412713754,21,207123.2358,12.2410692371307
135072.371,476.2233781,"dutertrei","N.dutertrei",44,"Resample","A",11.8135659952617,21,207123.2358,12.2410692371307
207123.2358,559.0568956,"dutertrei","N.dutertrei",44,"Resample","A",12.2410692371307,21,207123.2358,12.2410692371307
76634.5458,352.4663679,"dutertrei","N.dutertrei",44,"Resample","A",11.2468032436196,21,207123.2358,12.2410692371307
118341.114,419.4846223,"dutertrei","N.dutertrei",44,"Resample","A",11.6813265297405,21,207123.2358,12.2410692371307
89619.999,360.4353982,"dutertrei","N.dutertrei",44,"Resample","A",11.4033337771819,21,207123.2358,12.2410692371307
53867.28739,295.8884072,"dutertrei","N.dutertrei",44,"Resample","A",10.8942786596638,21,207123.2358,12.2410692371307
183757.9631,514.1612069,"dutertrei","N.dutertrei",44,"Resample","A",12.1213747527347,21,207123.2358,12.2410692371307
177104.2327,524.643559,"dutertrei","N.dutertrei",44,"Resample","A",12.0844937235418,21,207123.2358,12.2410692371307
95462.13862,380.3855575,"dutertrei","N.dutertrei",44,"Resample","A",11.4664849936192,21,207123.2358,12.2410692371307
134523.6436,457.4914542,"dutertrei","N.dutertrei",44,"Resample","A",11.8094952514226,21,207123.2358,12.2410692371307
58927.40833,303.6001647,"dutertrei","N.dutertrei",44,"Resample","A",10.9840615980765,21,207123.2358,12.2410692371307
38742.78307,234.2843763,"dutertrei","N.dutertrei",44,"Resample","A",10.5646997740812,21,207123.2358,12.2410692371307
47887.14447,277.007436,"dutertrei","N.dutertrei",44,"Resample","A",10.7766023647057,21,207123.2358,12.2410692371307
152845.2243,493.131058,"dutertrei","N.dutertrei",44,"Resample","A",11.9371810824737,21,207123.2358,12.2410692371307
164769.3664,493.4907355,"dutertrei","N.dutertrei",44,"Resample","A",12.0123019956839,21,207123.2358,12.2410692371307
141088.6576,474.7307061,"dutertrei","N.dutertrei",44,"Resample","A",11.8571437490676,21,207123.2358,12.2410692371307
120450.593,437.760218,"dutertrei","N.dutertrei",44,"Resample","A",11.6989949312355,21,207123.2358,12.2410692371307
37191.88886,242.553335,"dutertrei","N.dutertrei",44,"Resample","A",10.5238459750889,21,207123.2358,12.2410692371307
237989.9735,636.3214303,"dutertrei","N.dutertrei",46,"Resample","A",12.3799838236149,9,237989.9735,12.3799838236149
159170.3755,493.051094,"dutertrei","N.dutertrei",46,"Resample","A",11.977730451534,9,237989.9735,12.3799838236149
208440.8387,576.7186295,"dutertrei","N.dutertrei",46,"Resample","A",12.2474105327149,9,237989.9735,12.3799838236149
85098.74809,360.831734,"dutertrei","N.dutertrei",46,"Resample","A",11.3515676034074,9,237989.9735,12.3799838236149
161322.5698,513.6145209,"dutertrei","N.dutertrei",46,"Resample","A",11.9911611786893,9,237989.9735,12.3799838236149
59508.99365,306.8137519,"dutertrei","N.dutertrei",46,"Resample","A",10.9938827338927,9,237989.9735,12.3799838236149
87349.51617,349.813516,"dutertrei","N.dutertrei",46,"Resample","A",11.3776727765658,9,237989.9735,12.3799838236149
193835.4897,534.6686323,"dutertrei","N.dutertrei",46,"Resample","A",12.1747650870604,9,237989.9735,12.3799838236149
75783.52546,349.7101779,"dutertrei","N.dutertrei",46,"Resample","A",11.2356362057919,9,237989.9735,12.3799838236149
