"Value of distribution","Residual sum","Residual sum of squares","Mean squared error"
"mean",26.33974502,22.8069501963443,0.475144795757174
"median (50th per.)",27.02892855,25.8008983030529,0.537518714646935
"75th percentile",22.53354691,18.8809808302911,0.393353767297732
"95th percentile",19.52866169,17.3053948246185,0.360529058846218
"maximum",18.49040423,19.4930585866815,0.406105387222532
