Core,Coring device,Lat,Long,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina_universa,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Globigerinoides_tenellus,Trilobatus_sacculifer,Sphaeroidinella_dehiscens,Globigerinella_adamsi,Globigerinella_siphonifera,Globigerinella_calida,Globigerina_bulloides,Globigerina_falconensis,Beella_digitata,Globoturborotalita_rubescens,Turborotalita_humilis,Turborotalita_quinqueloba,Neogloboquadrina_pachyderma,Neogloboquadrina_incompta,Neogloboquadrina_dutertrei,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Pulleniatina_obliquiloculata,Globoconella_inflata,Globorotalia_truncatulinoides,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_scitula,Dentigloborotalia_anfracta,Globorotalia_menardii,Globorotalia_tumida,Globorotalia_menardii_._Globorotalia_tumida,Candeina_nitida,Globigerinita_glutinata,Globorotalia_theyeri,Tenuitella_iota,Turborotalita_humilis_._Berggrenia_pumilio,Globigerinita_uvula,unidentified,Count,Type,Sum
PS2837-5,,81.233,2.3817,-1023,North Atlantic,3.89,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.8,1.8,0,,,0,0,0,0,0,0,,0,0,NA,0,0.4,,,0,0,0,,1,100
PS2837-5,,81.233,2.3817,-1023,North Atlantic,3.95,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.3,2.4,0,,,0,0,0,0,0,0,,0,0,NA,0,0.3,,,0,0,0,,1,100
PS2837-5,,81.233,2.3817,-1023,North Atlantic,3.97,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.8,2.2,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS2887-1,,79.6,-4.6077,-1411,North Atlantic,0.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96.7,3.2,0,,,0,0,0,0,0,0,,0,0,NA,0,0.1,,,0,0,0,,1,100
PS2887-1,,79.6,-4.6077,-1411,North Atlantic,0.52,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.7,2.3,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS2887-1,,79.6,-4.6077,-1411,North Atlantic,0.56,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,97.8,2.2,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS1230-1,,78.855,-4.7812,-1249,North Atlantic,0.24,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.6,1.4,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
PS1230-1,,78.855,-4.7812,-1249,North Atlantic,0.26,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,98.2,1.8,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,100
GIK17725-1,,77.46,4.58,-2577,North Atlantic,0.3,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,95.6,3.6,0,,,0,0,0,0,0,0,,0,0,NA,0,0.8,,,0,0,0,,1,100
GIK17724-2,,76,8.3333,-2354,North Atlantic,0.47,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,20/05/07,0,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,97.8,2,0,,,0,0,0,0,0,0,,0,0,NA,0,0,,,0,0,0,,1,99.9
